Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,has_responded,What is Your LinkedIn Profile URL? [It looks like https://www.linkedin.com/in/my-username]﻿,Do you contribute to hiring and firing decisions at your company?,"For many professions, alternative credentials can qualify a person for an entry-level position.",What is your age?,What is your gender?,Which best describes your ethnicity?,"Do you believe that your last name reflects your ethnicity? For example, Smith identifies an Anglo-Saxon ethnicity, so if Maria Smith identifies as Hispanic, she should choose ""No.""",﻿Which of these industries most closely matches your profession?,Where do you live?
10014998693,210776607,5/10/2018 20:59,5/10/2018 21:00,71.85.240.240,,,,,TRUE,Don't have one,No,7,22,Male,White,Yes,Other,
10012607555,210776607,5/9/2018 10:56,5/9/2018 11:00,75.168.203.117,,,,,TRUE,http://linkedin.com/in/salah-al-din-deban,Unemployed,4,23,Male,White,No,Other,
10012434765,210776607,5/9/2018 8:50,5/9/2018 9:06,47.19.111.82,,,,,TRUE,,Yes,3,24,Male,Asian,Yes,Law,
10011826296,210776607,5/8/2018 19:37,5/8/2018 19:39,99.203.128.132,,,,,TRUE,https://www.linkedin.com/in/cory-siler-ba6784102,No,4,23,Other,White,Yes,Information Technology,
10011749144,210776607,5/8/2018 18:13,5/8/2018 18:16,168.156.194.51,,,,,TRUE,https://www.linkedin.com/in/justinmumma,No,8,17,Male,White,Yes,Education,
10011511926,210776607,5/8/2018 15:10,5/8/2018 15:12,216.207.71.1,,,,,TRUE,https://www.linkedin.com/in/javan-degraff-64548b61,Yes,Strongly Agree,30,Male,White,No,Information Technology,
10011445557,210776607,5/8/2018 14:26,5/8/2018 14:27,24.180.61.237,,,,,TRUE,,Unemployed,Strongly Agree,26,Male,Hispanic,No,Health,
10010597500,210776607,5/8/2018 1:51,5/8/2018 1:52,174.27.171.158,,,,,TRUE,https://www.linkedin.com/in/rutger-luther-10013415b/,Unemployed,7,27,Male,White,Yes,Information Technology,
10010506798,210776607,5/7/2018 23:15,5/7/2018 23:17,107.2.55.33,,,,,TRUE,,Yes,Strongly Agree,45,Female,White,No,Transportation,
10010413325,210776607,5/7/2018 21:17,5/7/2018 21:19,72.221.62.146,,,,,TRUE,,No,Strongly Agree,27,Male,White,Yes,Other,
10010122532,210776607,5/7/2018 16:26,5/7/2018 16:27,67.8.29.19,,,,,TRUE,JanesKishtok,No,7,20,Male,White,Yes,Other,
10009011849,210776607,5/6/2018 20:56,5/6/2018 20:59,107.2.55.33,,,,,TRUE,,Yes,Strongly Agree,37,Female,White,No,Transportation,
10008976546,210776607,5/6/2018 19:29,5/6/2018 19:30,70.162.249.246,,,,,TRUE,,No,7,23,Male,Asian,Yes,Information Technology,
10008589855,210776607,5/6/2018 0:09,5/6/2018 0:10,216.98.70.62,,,,,TRUE,,Yes,4,23,Male,Native American,Yes,Other,
10008574586,210776607,5/5/2018 23:13,5/5/2018 23:19,70.113.3.176,,,,,TRUE,LinkedIn.com/tiagotyson ,No,Strongly Agree,27,Male,White,No,Information Technology,
10008532874,210776607,5/5/2018 21:17,5/5/2018 21:21,69.251.248.100,,,,,TRUE,https://www.linkedin.com/in/markus-brun-bj%C3%B8rkheim-14676533/,No,3,28,Male,White,Yes,Education,
