Respondent ID,Collector ID,Start Date,End Date,IP Address,Custom Data 1,custom_value7,custom_value9,custom_value8,Do you contribute to hiring and firing decisions at your company?,"For many professions, alternative credentials can qualify a person for an entry-level position.",It will soon become fairly conventional for high school graduates to obtain alternative credentials instead of going to college.,"When you add up the pros and cons for online education, it's probably a good thing for society overall.","When you add up the pros and cons for artificial intelligence, it's probably a good thing for society overall.",Have you heard of any of the following online course providers?,,,,,Which of these industries most closely matches your profession?,Government regulation helps ensure businesses treat individuals more fairly.,Gender?,Household Income?,Age?,Exact Age,What is the highest level of education you have completed?,Which race/ethnicity best describes you? (Please choose only one.) ,"If you are a Mechanical Turk Worker, please add your Worker ID. Otherwise write ""n/a"".",Age,Gender,Household Income,Region,Device Type
11283840790,252761849,1/18/2020 16:38,1/18/2020 16:40,75.181.91.125,,,,,1,6,2,2,8,,2,,4,5,6,3,2,7,2,25,5,5,A2EQOFJNKS7RCN,,,,,
11283839880,252761849,1/18/2020 16:35,1/18/2020 16:39,99.196.48.7,,,,,3,10,10,10,2,1,,,,,10,4,1,2,2,21,3,5,A1EFQGRCW78XW0,,,,,
11283839277,252761849,1/18/2020 16:36,1/18/2020 16:38,47.218.255.65,,,,,2,10,10,5,5,1,2,3,,,5,6,1,6,2,24,5,3,A2YL0CS9EKHLCN,,,,,
11283837410,252761849,1/18/2020 16:34,1/18/2020 16:36,71.80.196.120,,,,,1,7,8,7,6,1,2,3,,,12,3,2,3,3,31,5,3,A3QSFE6GKO157S,,,,,
11283836681,252761849,1/18/2020 16:34,1/18/2020 16:35,67.245.112.210,,,,,2,3,6,7,6,,2,3,,5,8,9,1,4,3,43,5,5,A1CE2XPYCDRHVZ,,,,,
11283836552,252761849,1/18/2020 16:34,1/18/2020 16:35,69.174.156.201,,,,,3,10,10,7,1,,,,,,10,6,1,4,3,35,3,5,A2YUCJ28XANFOX,,,,,
11283835213,252761849,1/18/2020 16:32,1/18/2020 16:33,76.178.133.171,,,,,1,3,3,7,6,1,2,,,5,5,7,2,2,2,26,7,5,A18MH7KAM9NBB0,,,,,
11283834267,252761849,1/18/2020 16:31,1/18/2020 16:33,24.3.249.214,,,,,2,10,10,10,5,,,,,5,5,7,1,4,2,24,4,5,A25TOEZW3SJ7A4,,,,,
11283834076,252761849,1/18/2020 16:32,1/18/2020 16:32,71.230.120.244,,,,,2,6,6,6,6,1,,,,,1,5,2,3,2,25,6,2,A1VR49TB3Q4BV8,,,,,
11283832701,252761849,1/18/2020 16:30,1/18/2020 16:31,98.208.50.230,,,,,1,5,6,8,5,,,,,,11,5,1,4,2,29,4,5,A1ODA3Q5H6HTDQ,,,,,
11283832696,252761849,1/18/2020 16:30,1/18/2020 16:31,162.234.202.196,,,,,1,8,9,7,8,,2,,,,10,6,2,4,3,33,5,6,A3D70ANCSMGX5F,,,,,
11283831451,252761849,1/18/2020 16:28,1/18/2020 16:29,99.135.45.101,,,,,3,5,7,8,4,1,2,3,,,10,10,1,4,2,23,5,4,A15XIKX3PI7SLK,,,,,
11283828935,252761849,1/18/2020 15:57,1/18/2020 16:27,173.66.175.190,,,,,1,10,10,10,10,1,2,3,,5,6,8,2,8,3,31,5,5,A3C0NQ2IP5FTZQ,,,,,
11283828865,252761849,1/18/2020 16:25,1/18/2020 16:26,71.163.100.171,,,,,3,6,5,5,6,,,,,,6,5,2,3,2,19,4,2,A2NS3EEEGWPWQE,,,,,
11283828723,252761849,1/18/2020 16:24,1/18/2020 16:26,35.138.76.64,,,,,2,4,4,9,9,,,,,,5,7,2,2,4,51,7,5,A3QLGMZOLGMBQ1,,,,,
11283827887,252761849,1/18/2020 16:23,1/18/2020 16:25,71.195.152.153,,,,,2,8,8,6,5,,2,,,,6,8,1,4,2,29,5,2,A2EMVL9KAQZ54T,,,,,
11283826591,252761849,1/18/2020 16:23,1/18/2020 16:24,96.69.66.85,,,,,3,2,6,9,3,,2,3,,,10,2,1,3,2,26,5,5,A383WPMTMRQEA0,,,,,
11283826395,252761849,1/18/2020 16:23,1/18/2020 16:24,47.156.90.116,,,,,2,6,5,5,6,,2,,,,6,5,2,5,2,23,5,5,A1PUHCEBSOWETV,,,,,
11283826265,252761849,1/18/2020 16:22,1/18/2020 16:24,67.149.251.145,,,,,2,3,5,10,8,,2,,,,10,6,1,2,4,46,4,5,AFU00NU09CFXE,,,,,
11283826247,252761849,1/18/2020 16:22,1/18/2020 16:24,72.188.213.212,,,,,1,8,5,7,6,,,,4,5,11,7,1,3,2,20,4,4,AJPIWEJFRP8K7,,,,,
11283825348,252761849,1/18/2020 16:17,1/18/2020 16:22,24.183.46.28,,,,,2,7,8,7,8,1,2,3,,5,3,6,1,3,2,24,4,5,A10Q4U3BRHXXPP,,,,,
11283825161,252761849,1/18/2020 16:21,1/18/2020 16:22,71.236.67.104,,,,,1,7,7,6,6,1,,,,5,8,6,2,3,3,42,4,5,A23BWWRR7J5XLS,,,,,
11283824975,252761849,1/18/2020 16:21,1/18/2020 16:22,47.206.91.235,,,,,2,8,8,9,9,1,2,3,,,6,4,2,4,2,25,5,5,A3IS28VQS5T5DE,,,,,
11283822572,252761849,1/18/2020 16:18,1/18/2020 16:19,45.24.32.236,,,,,2,7,8,8,8,,,3,,,10,8,1,4,2,25,5,2,A2AOQZQRVECDAD,,,,,
11283822033,252761849,1/18/2020 16:15,1/18/2020 16:19,174.21.152.48,,,,,1,5,4,7,9,1,2,3,,,6,7,1,2,2,23,4,3,A8RDXT4ZILHQT,,,,,
11283821091,252761849,1/18/2020 16:16,1/18/2020 16:18,108.211.159.34,,,,,2,10,7,10,9,,2,3,,5,6,7,2,6,2,26,5,3,AU2RMH9IZP60M,,,,,
11283821054,252761849,1/18/2020 16:15,1/18/2020 16:18,184.91.134.106,,,,,2,9,10,6,6,,2,,,5,6,5,2,2,1,34,5,5,A38QGJJOZANQ4B,,,,,
11283820711,252761849,1/18/2020 16:15,1/18/2020 16:17,174.255.136.49,,,,,2,6,6,4,4,,2,3,,,11,3,2,4,3,34,5,5,A38NFX88VZDMJ3,,,,,
11283820600,252761849,1/18/2020 16:16,1/18/2020 16:17,160.3.43.65,,,,,2,10,9,8,6,,,,,5,6,5,1,3,3,31,4,5,A3UPZ88FI1EJC,,,,,
11283820303,252761849,1/18/2020 16:15,1/18/2020 16:17,73.31.171.69,,,,,2,6,9,9,9,1,,,,,6,5,2,5,2,27,4,5,A21GOIDMTJIIE1,,,,,
11283820275,252761849,1/18/2020 16:15,1/18/2020 16:17,184.89.168.76,,,,,2,2,2,9,9,,,,,5,11,2,2,2,2,19,2,5,A1FAK4VQ6WQUDC,,,,,
11283820234,252761849,1/18/2020 16:13,1/18/2020 16:17,71.222.44.72,,,,,2,7,8,10,4,1,2,3,,5,10,1,3,1,3,31,5,6,A209V2VHLLQ59W,,,,,
11283820097,252761849,1/18/2020 16:15,1/18/2020 16:17,47.149.21.163,,,,,2,7,9,9,8,,2,,,,6,7,2,4,3,36,4,2,A1EITLFAMKA61U,,,,,
11283819340,252761849,1/18/2020 16:12,1/18/2020 16:16,209.95.171.61,,,,,3,9,10,9,9,,2,,,,1,9,1,4,2,25,5,5,A357QDJX7IJDPB,,,,,
11283819078,252761849,1/18/2020 16:14,1/18/2020 16:15,74.134.75.252,,,,,3,7,5,6,7,,2,3,,,10,7,1,3,3,38,4,5,A3U21PUMQ6NGT2,,,,,
11283818899,252761849,1/18/2020 16:11,1/18/2020 16:15,98.171.76.49,,,,,2,8,8,10,7,1,2,,,,4,7,1,3,2,24,8,6,A2JCSB7V54XDHT,,,,,
11283818306,252761849,1/18/2020 16:13,1/18/2020 16:14,96.44.19.199,,,,,2,6,6,7,7,,,,,5,10,5,1,11,2,21,5,5,A3BBO5WMQDETB,,,,,
11283818176,252761849,1/18/2020 16:12,1/18/2020 16:14,75.130.111.138,,,,,2,9,8,8,8,,,,,5,10,7,1,4,3,37,4,5,A2T007HZK66WM,,,,,
11283816914,252761849,1/18/2020 16:12,1/18/2020 16:13,67.243.175.36,,,,,1,7,8,8,7,1,2,3,,,2,8,2,5,2,22,5,2,AS7D4MNIH56ND,,,,,
11283816135,252761849,1/18/2020 16:05,1/18/2020 16:12,205.185.193.49,,,,,1,10,6,6,6,,2,3,4,,5,6,2,6,2,25,8,3,A12XUMVMCGOMOR,,,,,
11283815799,252761849,1/18/2020 16:10,1/18/2020 16:12,68.101.131.131,,,,,1,7,7,5,5,1,2,3,,,11,5,2,3,2,25,4,2,A2VK51X6O3GJYM,,,,,
11283815749,252761849,1/18/2020 16:08,1/18/2020 16:12,71.136.150.232,,,,,3,8,10,5,5,,,,,5,5,8,1,2,5,69,5,5,A37OUZOGQKGMW0,,,,,
11283815494,252761849,1/18/2020 16:10,1/18/2020 16:12,75.118.79.54,,,,,2,8,10,6,4,,2,3,4,5,10,4,2,3,3,33,4,6,AL8KOIH1DJ7D9,,,,,
11283815424,252761849,1/18/2020 16:08,1/18/2020 16:11,73.45.204.94,,,,,1,6,7,8,7,1,,,,,5,7,2,6,2,25,6,5,A2WLYZ61QLTN9H,,,,,
11283814632,252761849,1/18/2020 16:09,1/18/2020 16:11,71.127.176.37,,,,,3,5,4,3,3,,,,,,5,2,1,2,2,24,6,5,A3RFCSZW6JZDPF,,,,,
11283814206,252761849,1/18/2020 15:45,1/18/2020 16:10,131.106.65.76,,,,,2,8,7,7,8,,2,3,,,6,8,2,4,3,39,5,5,A183WYXN12P2TJ,,,,,
11283812840,252761849,1/18/2020 16:07,1/18/2020 16:09,108.94.130.166,,,,,2,7,6,8,7,1,2,3,,,10,5,1,4,4,47,4,5,A333STM8M95GJX,,,,,
11283812124,252761849,1/18/2020 16:07,1/18/2020 16:08,107.146.146.133,,,,,3,3,5,5,4,,,3,,,5,8,2,3,2,27,6,5,AXI6SO2CBLY9J,,,,,
11283812058,252761849,1/18/2020 16:07,1/18/2020 16:08,73.255.138.151,,,,,1,8,7,9,6,,,3,,5,11,4,2,3,2,25,4,5,AKNLD4GWEGW4U,,,,,
11283811681,252761849,1/18/2020 16:06,1/18/2020 16:07,24.88.233.91,,,,,1,6,6,6,10,1,2,3,,5,6,8,2,5,4,45,4,3,AV5FCKI1TTSKR,,,,,
11283811452,252761849,1/18/2020 16:06,1/18/2020 16:07,131.247.226.30,,,,,2,8,7,9,7,,,3,,5,2,5,2,3,2,21,4,4,A2N9BXKWPITBRA,,,,,
11283811046,252761849,1/18/2020 16:05,1/18/2020 16:07,216.96.183.213,,,,,2,7,5,7,7,,2,3,,5,10,8,1,1,2,21,5,5,A2SNZOY3RDSJ9A,,,,,
11283810948,252761849,1/18/2020 16:05,1/18/2020 16:07,108.66.80.16,,,,,2,8,7,10,10,1,2,,,,11,6,1,2,4,56,4,3,A342YLIMT6THWO,,,,,
11283810918,252761849,1/18/2020 16:03,1/18/2020 16:07,162.204.57.19,,,,,2,6,8,7,8,1,2,,,,11,7,2,3,5,72,3,5,A1SP3GBRZKMWZJ,,,,,
11283809795,252761849,1/18/2020 16:03,1/18/2020 16:05,174.54.17.241,,,,,2,9,10,4,1,1,,,,,2,4,1,5,2,26,5,5,A3QF91GZZA9IJ1,,,,,
11283809198,252761849,1/18/2020 16:03,1/18/2020 16:05,73.33.74.127,,,,,1,10,10,10,10,1,2,3,4,5,6,10,2,4,3,37,5,2,A3BHRFFG75X3GO,,,,,
11283808841,252761849,1/18/2020 16:01,1/18/2020 16:04,23.125.44.89,,,,,2,9,9,8,8,,,,,5,10,9,1,4,3,43,3,5,A1BVG13MHBM1YD,,,,,
11283808840,252761849,1/18/2020 16:03,1/18/2020 16:04,35.138.250.176,,,,,2,6,3,6,5,,,,,,10,10,2,2,2,29,5,5,AUFUUD4WG9CVO,,,,,
11283808648,252761849,1/18/2020 16:02,1/18/2020 16:04,47.208.114.47,,,,,2,3,2,7,3,,,3,,,2,10,3,2,3,39,7,5,AIQ1I6ODSIO56,,,,,
11283808281,252761849,1/18/2020 16:02,1/18/2020 16:04,144.174.210.70,,,,,2,9,5,10,5,1,,,,5,11,10,1,3,2,23,5,4,A3H1CWTHL18474,,,,,
11283808258,252761849,1/18/2020 16:02,1/18/2020 16:04,104.33.98.211,,,,,1,7,7,8,5,1,,3,,,8,10,2,5,3,30,5,4,A1A46CKE3F5JAJ,,,,,
11283808245,252761849,1/18/2020 16:02,1/18/2020 16:04,98.220.196.13,,,,,2,10,5,10,10,,2,3,,,8,1,2,7,2,25,5,5,AD14EQ9O9JKRI,,,,,
11283807793,252761849,1/18/2020 16:01,1/18/2020 16:03,47.132.86.20,,,,,2,8,4,8,5,,2,3,,,5,6,1,4,2,22,6,5,A1KLM658JA6W3V,,,,,
11283807460,252761849,1/18/2020 16:02,1/18/2020 16:03,65.34.68.4,,,,,2,8,6,7,7,1,,3,,,10,6,2,3,2,25,3,4,A2VD64S66EUC9B,,,,,
11283807429,252761849,1/18/2020 16:01,1/18/2020 16:03,69.250.205.52,,,,,2,5,3,7,4,,,,,,4,6,1,2,2,24,5,2,A3N7NZV1Z06OKX,,,,,
11283806873,252761849,1/18/2020 16:00,1/18/2020 16:02,135.84.220.60,,,,,3,7,3,9,10,,,,,,10,8,2,4,2,27,4,5,A1WY3YGT618GC0,,,,,
11283806035,252761849,1/18/2020 15:59,1/18/2020 16:01,173.22.23.45,,,,,2,10,4,7,6,1,,3,,,2,9,2,2,2,25,4,5,A24LB89P1BPKKF,,,,,
11283805076,252761849,1/18/2020 15:59,1/18/2020 16:00,100.10.88.136,,,,,1,6,6,8,8,1,2,3,,,6,5,2,3,2,25,5,4,A3NKZMF7M4X0ZP,,,,,
11283804619,252761849,1/18/2020 15:56,1/18/2020 16:00,73.1.141.162,,,,,3,7,7,8,9,,,,,5,5,8,1,3,5,68,3,5,AOOLS8280CL0Z,,,,,
11283804159,252761849,1/18/2020 15:57,1/18/2020 15:59,76.30.105.32,,,,,2,9,10,9,8,1,,3,,,6,6,1,4,3,31,4,5,A3FT3XPTOWHJMY,,,,,
11283803934,252761849,1/18/2020 15:56,1/18/2020 15:59,24.169.19.0,,,,,1,6,6,10,2,1,,3,,5,6,10,3,3,3,23,5,5,A3KC385CZNYEG5,,,,,
11283803903,252761849,1/18/2020 15:56,1/18/2020 15:59,70.162.65.201,,,,,2,5,4,6,7,1,,,,,6,8,2,5,3,36,5,5,A36KZTLVQWGRYW,,,,,
11283803183,252761849,1/18/2020 15:56,1/18/2020 15:58,108.197.126.101,,,,,2,7,9,7,7,,2,,,5,1,7,2,2,2,27,5,4,A3ESBL8J4RUANK,,,,,
11283803118,252761849,1/18/2020 15:57,1/18/2020 15:58,184.88.54.11,,,,,2,7,7,7,7,1,2,3,,5,6,9,2,11,2,25,4,3,A39YWO5O88IAIC,,,,,
11283803040,252761849,1/18/2020 15:57,1/18/2020 15:58,74.194.122.201,,,,,2,9,9,9,9,,2,3,,5,6,1,2,2,2,25,3,5,A25CFVQND4A0EV,,,,,
11283802933,252761849,1/18/2020 15:55,1/18/2020 15:58,2.56.32.43,,,,,1,7,5,8,6,1,2,3,,,2,6,2,4,2,65,5,5,AWBLWTW3JH0QS,,,,,
11283802756,252761849,1/18/2020 15:53,1/18/2020 15:58,174.205.8.51,,,,,2,3,4,6,8,1,2,3,4,5,6,3,2,5,2,100,7,5,n/a,,,,,
11283802012,252761849,1/18/2020 15:55,1/18/2020 15:57,184.15.12.38,,,,,2,5,3,4,8,,,3,,,5,5,2,3,2,24,5,5,A2PS0YCQ7W3JGV,,,,,
11283802005,252761849,1/18/2020 15:55,1/18/2020 15:57,107.136.36.13,,,,,2,10,10,10,5,,,3,,5,10,6,1,2,2,26,4,2,AFWD6B1RD714W,,,,,
11283801962,252761849,1/18/2020 15:56,1/18/2020 15:57,24.18.153.117,,,,,2,9,10,7,6,1,2,3,,,10,5,2,3,2,29,5,5,A2CK0OXMPOR9LE,,,,,
11283801788,252761849,1/18/2020 15:55,1/18/2020 15:57,98.242.236.94,,,,,2,7,8,9,6,1,2,,,5,6,7,2,3,2,23,3,4,A3TOUB8313BPVS,,,,,
11283801432,252761849,1/18/2020 15:54,1/18/2020 15:56,68.62.177.226,,,,,1,8,7,10,4,,,3,4,5,1,3,2,3,2,19,4,5,AQH530PAKZ8JM,,,,,
11283801418,252761849,1/18/2020 15:54,1/18/2020 15:56,103.82.211.198,,,,,1,7,6,6,6,1,2,3,4,5,6,8,2,5,2,25,5,5,A2IO83300NZCUE,,,,,
11283800173,252761849,1/18/2020 15:53,1/18/2020 15:55,96.61.98.113,,,,,2,7,5,9,8,,,3,,,6,10,2,3,2,26,2,5,A297OTX4PW0XS3,,,,,
11283799747,252761849,1/18/2020 15:51,1/18/2020 15:54,184.98.49.101,,,,,2,7,3,8,8,,2,3,,,12,4,2,2,3,37,5,5,A207IHY6GERCFO,,,,,
11283799683,252761849,1/18/2020 15:50,1/18/2020 15:54,67.180.106.232,,,,,1,8,9,7,7,,2,3,,,6,9,2,8,3,36,5,5,A3774HPOUKYTX7,,,,,
11283799574,252761849,1/18/2020 15:52,1/18/2020 15:54,173.94.144.4,,,,,2,10,10,10,8,,2,,,5,5,4,1,3,3,39,4,3,A10BH9PYCYUKDJ,,,,,
11283799123,252761849,1/18/2020 15:51,1/18/2020 15:54,71.77.155.238,,,,,2,6,7,8,6,,,,,,7,9,1,2,4,58,7,5,A3FNC8ELMK8YJA,,,,,
11283798644,252761849,1/18/2020 15:43,1/18/2020 15:53,76.26.67.22,,,,,1,7,8,8,8,,,3,,,5,8,1,3,2,25,8,3,AZLRPIAD0ZHAA,,,,,
11283798620,252761849,1/18/2020 15:42,1/18/2020 15:53,24.24.154.168,,,,,2,10,10,7,7,,2,,,5,10,7,1,2,4,56,4,5,A2SJC9VRBGNC58,,,,,
11283798313,252761849,1/18/2020 15:50,1/18/2020 15:53,35.137.48.118,,,,,2,10,8,8,6,,,,,5,5,7,1,3,4,60,5,5,A198MSVO1VTAT5,,,,,
11283797835,252761849,1/18/2020 15:51,1/18/2020 15:52,24.101.174.196,,,,,1,9,6,9,10,,,3,,,4,5,2,4,2,28,5,3,A2SYTRKH1JWJO5,,,,,
11283797550,252761849,1/18/2020 15:48,1/18/2020 15:52,108.189.51.252,,,,,2,7,6,7,7,,,,,5,5,5,1,3,2,22,6,3,A2CSGR33WTRXO0,,,,,
