Respondent ID,Collector ID,Start Date,End Date,IP Address,Custom Data 1,custom_value7,custom_value8,custom_value9,Do you contribute to hiring and firing decisions at your company?,How likely is it that you would recommend alternative education to a friend or colleague?,How likely is it that you would recommend a traditional bachelor's degree to a friend or colleague?,"For many professions, alternative credentials can qualify a person for an entry-level position.",Which of these industries most closely matches your profession?,Gender?,Household Income?,Age?,What is the highest level of education you have completed?,Which race/ethnicity best describes you? (Please choose only one.) ,Which of the following statements are true for you?,,,,,,,How many of the three articles contained information you were previously unaware of?,I completed this portion of the Codecademy Intro to HTML lesson,How likely is it that you would recommend alternative education to a friend or colleague?,How likely is it that you would recommend a traditional bachelor's degree to a friend or colleague?,"In 2 or more sentences, please explain your selection on ""How likely is it that you would recommend alternative education to a friend or colleague?"" Include why your score did or did not change after completing the exercises.","For many professions, alternative credentials can qualify a person for an entry-level position.",Age,Gender,Household Income,Region,Device Type
11134102795,249597484,11/11/2019 10:10,11/11/2019 10:14,,def30877cac48ad9fec5d3a73f,,,,3,0,6,3,11,1,11,2,3,5,,,,,,,7,91,3,5,6,My score changed after the exercises because I had never heard of alternative education. It allows you to get a degree without having to pay for dining or housing,7,2,2,11,1,1
11133201979,249561822,11/11/2019 1:22,11/11/2019 1:25,,d2ce6c2abc209666e7367c1f08,,,,2,2,,3,6,2,4,3,3,2,1,,,,,,,10,3,2,,,2,2,1,5,5,2
11133126864,249561822,11/11/2019 0:06,11/11/2019 0:09,,36d23d05b425ef4c61259426c0,,,,3,8,,10,11,2,10,3,4,5,,2,,,,,,0,3,1,,,1,3,1,10,9,1
11133102484,249561822,11/10/2019 23:45,11/10/2019 23:45,,4fdf257a159789f39f41a8a76c,,,,2,7,,2,6,2,2,2,4,3,,2,,,,,,59,3,7,,,2,2,1,4,3,2
11133080904,249561822,11/10/2019 23:25,11/10/2019 23:26,,f1e63bfc0547ccc88b0d5416eb,,,,2,6,,8,6,2,3,3,4,2,1,,,,,,,0,1,0,,,1,3,1,3,9,2
11133055747,249561822,11/10/2019 23:02,11/10/2019 23:03,,7b0c3d36838a47b0489d4051f7,,,,2,8,,9,10,2,3,2,3,5,1,,,,,,,1,4,8,,,7,2,1,3,3,2
11133052928,249561822,11/10/2019 22:57,11/10/2019 23:00,,e5c69a66c0049e33be0cae732e,,,,2,10,,5,9,2,11,3,6,5,,,,4,,6,,45,3,10,,,5,2,1,1,,1
11133047835,249561822,11/10/2019 22:55,11/10/2019 22:56,,4b7e606cadf4214fc8acd88375,,,,1,5,,7,3,2,5,3,4,1,,,3,,,,,4,3,5,,,8,3,1,3,7,2
11133024209,249561822,11/10/2019 22:35,11/10/2019 22:36,,6252f58c10e7b0b96c17fd87bc,,,,1,6,,7,6,2,9,3,5,2,,2,,,,,,0,2,8,,,8,3,1,9,9,1
11133020794,249561822,11/10/2019 22:33,11/10/2019 22:34,,87f5efd7484ea3381a5fb72a74,,,,1,5,,7,5,2,3,2,3,1,,,,,,6,,29,2,8,,,8,2,1,3,6,2
11133003195,249561822,11/10/2019 22:17,11/10/2019 22:19,,5acc7ea11694c6373634713e26,,,,1,8,,9,10,2,4,3,4,5,,,3,,,,,3,1,8,,,8,3,1,4,9,2
11133002818,249561822,11/10/2019 22:17,11/10/2019 22:19,,2a57ecf58b5c49a8dcc46f900f,,,,2,5,,10,10,2,1,2,3,3,1,,,,,,,2,3,5,,,10,2,1,2,5,1
