Respondent ID,Collector ID,CompletionTimeMinutes,End Date,FavorEntryLevel,FavorConventionalSoon,FavorOnlineEducation,FavorAI,HeardOfUdacity,HeardOfUdemy,HeardOfCoursera,HeardOfPluralsight,HeardOfLynda,Industry,FavorRegulation,ReportedIncome,ReportedAge,ReportedExactAge,Education,Ethnicity,Personality_Grit,Covid,FavorReligion,FavorAmerican,State,IsReportedMale,IsReportedFemale,IsReportedNonbinary,IsUnreportedGender,IsReportedIncomePreferNotDisclose,IsManager,IsUnemployed,IsStem,IsNotStem,IsUnsureStem,IsUnreportedStem,IsMale,IsFemale,Personality_Openness,Personality_Conscientiousness,Personality_Extraversion,Personality_Agreeableness,Personality_Neuroticism,Personality_IsInvalid
11516459519,258604317,8,4/18/2020 15:58,3,7,7,9,0,1,0,0,0,6,7,4,4,50,4,5,470,3,,,,0,1,0,0,0,0,0,0,0,0,1,0,1,79,81,73,81,17,0
11516468772,258604317,14,4/18/2020 16:05,10,10,10,7,1,0,0,0,1,4,8,5,4,59,5,2,470,2,,,,0,1,0,0,0,1,0,0,0,0,1,0,1,,,,,,1
11516462159,258604317,9,4/18/2020 16:00,8,9,9,8,0,1,1,0,1,4,10,3,3,38,7,5,254,2,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,85,67,72,76,46,0
11516459965,258604317,7,4/18/2020 15:58,6,5,9,5,0,0,0,0,0,6,4,3,3,38,4,5,440.00000000000006,3,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,94,65,10,98,8,0
11516459826,258604317,7,4/18/2020 15:58,10,6,10,10,1,1,1,1,1,6,5,4,3,30,5,5,220.00000000000003,3,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,77,44,31,15,60,0
11516458154,258604317,6,4/18/2020 15:57,4,2,9,8,1,1,1,0,0,12,7,3,3,37,5,5,200,2,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,29,46,0,54,94,0
11516463537,258604317,9,4/18/2020 16:01,4,8,9,8,0,1,1,1,1,10,10,7,3,40,5,5,250,2,,,,0,1,0,0,0,1,0,0,0,0,1,0,1,79,56,69,65,29,0
11516464767,258604317,9,4/18/2020 16:02,9,8,9,9,1,0,1,0,0,6,9,5,3,36,5,5,380,2,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,100,81,10,96,75,0
11516462558,258604317,7,4/18/2020 16:00,8,9,8,9,0,1,0,0,0,6,7,4,3,39,5,5,290,3,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,69,65,6,81,62.5,0
11516462270,258604317,6,4/18/2020 16:00,10,10,10,2,0,0,0,0,1,8,8,4,3,39,4,5,490.00000000000006,4,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,77,83,35,90,27,0
11516461507,258604317,5,4/18/2020 15:59,9,5,4,6,0,1,1,0,0,6,3,4,3,33,5,5,180,2,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,63,46,15,35,85,0
11516462234,258604317,5,4/18/2020 16:00,7,7,8,7,0,0,0,0,1,4,9,5,4,52,5,5,440.00000000000006,2,,,,0,1,0,0,0,1,0,0,0,0,1,0,1,96,98,67,83,2,0
11516468790,258604317,9,4/18/2020 16:05,3,10,7,6,0,1,0,0,1,5,7,3,3,39,4,3,400,3,,,,0,1,0,0,0,0,0,0,0,0,1,0,1,83,69,42,87.5,19,0
11516470349,258604317,7,4/18/2020 16:06,10,10,8,10,0,1,1,1,0,6,10,6,2,27,5,2,300,5,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,52,65,60,60,54,0
11516480386,258604317,12,4/18/2020 16:13,7,6,9,9,1,0,1,0,0,11,8,4,4,59,5,5,470,2,,,,0,1,0,0,0,1,0,0,0,0,1,0,1,62.5,96,42,90,23,0
11516479611,258604317,12,4/18/2020 16:13,9,8,10,8,0,1,1,0,0,6,9,5,3,39,5,5,470,3,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,81,88,54,73,6,0
11516475536,258604317,9,4/18/2020 16:10,9,9,8,10,0,1,1,0,1,4,10,3,3,33,5,5,370,3,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,1
11516476025,258604317,8,4/18/2020 16:10,7,7,8,7,1,0,1,0,1,10,8,4,4,51,4,5,290,3,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,81,58,27,46,71,0
11516472895,258604317,5,4/18/2020 16:08,5,6,8,5,0,1,1,0,1,11,6,5,3,34,4,5,240,2,,,,0,1,0,0,0,1,0,0,0,0,1,0,1,85,60,12.5,73,71,0
11516486576,258604317,13,4/18/2020 16:18,7,5,8,2,0,0,0,0,0,10,7,2,5,71,2,5,240,1,,,,0,1,0,0,0,0,1,0,0,0,1,0,1,17,60,62,81,15,0
11516482020,258604317,10,4/18/2020 16:15,4,5,8,8,0,1,0,0,0,4,5,6,3,38,5,5,370,3,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,77,75,42,67,6,0
11516476074,258604317,5,4/18/2020 16:10,5,7,5,10,0,0,1,0,0,10,8,3,3,38,3,5,500,3,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,44,100,15,44,6,0
11516474538,258604317,4,4/18/2020 16:09,6,7,8,8,0,0,0,0,0,6,3,4,3,37,5,5,390,2,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,96,56,94,33,15,0
11516479568,258604317,7,4/18/2020 16:13,6,5,9,9,0,1,0,0,0,11,5,3,4,56,6,5,450,3,,,,0,1,0,0,0,0,0,0,0,0,1,0,1,90,81,42,94,27,0
11516481439,258604317,7,4/18/2020 16:14,7,7,9,7,0,1,0,0,0,11,7,4,4,57,5,5,480,2,,,,0,1,0,0,0,1,0,0,0,0,1,0,1,65,85,85,73,12,0
11516479343,258604317,6,4/18/2020 16:13,5,4,7,6,0,1,1,0,0,6,9,8,4,48,4,5,290,3,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,73,42,10,71,44,0
11516485887,258604317,7,4/18/2020 16:18,8,10,9,4,1,1,0,0,0,12,9,3,3,31,5,4,409,3,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,92,77,31,92,35,0
11516492891,258604317,11,4/18/2020 16:23,8,8,8,10,0,0,1,0,1,2,10,3,3,35,5,5,400,3,,,,0,1,0,0,0,0,1,0,0,0,1,0,1,44,83,67,73,12.5,0
11516485417,258604317,5,4/18/2020 16:17,8,3,7,8,0,1,0,0,0,6,7,3,3,36,4,2,229,2,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,60,42,2,60,90,0
11516497220,258604317,12,4/18/2020 16:27,10,10,10,9,0,1,0,0,1,2,8,5,4,51,8,3,459,2,,,,0,1,0,0,0,1,0,0,0,0,1,0,1,96,100,58,94,2,0
11516491453,258604317,7,4/18/2020 16:22,6,4,8,8,0,0,1,0,0,10,10,2,3,39,4,5,270,3,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,54,60,31,75,42,0
11516489898,258604317,6,4/18/2020 16:21,8,9,10,10,0,0,0,0,0,8,10,2,3,32,3,5,409,3,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,88,75,25,77,40,0
11516489430,258604317,4,4/18/2020 16:20,2,1,10,10,0,0,1,0,0,10,10,3,3,31,4,5,440.00000000000006,1,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,83,90,85,65,0,0
11516488236,258604317,4,4/18/2020 16:20,7,6,9,8,0,0,0,0,0,2,7,4,3,39,5,5,500,2,,,,0,1,0,0,0,1,0,0,0,0,1,0,1,77,85,77,94,0,0
11516506413,258604317,12,4/18/2020 16:34,8,7,9,9,1,1,0,0,1,4,10,5,3,35,7,5,312,1,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,73,83,79,73,8,0
11516498388,258604317,6,4/18/2020 16:28,10,7,8,10,1,1,1,0,1,6,10,5,4,46,4,3,500,3,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,100,98,87.5,77,4,0
11516500599,258604317,6,4/18/2020 16:29,10,4,10,10,0,0,0,0,0,6,9,3,4,51,7,5,190,3,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,33,46,0,44,79,0
11516502118,258604317,5,4/18/2020 16:31,7,9,9,6,1,1,1,0,1,6,6,3,3,39,4,4,360,3,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,67,54,54,52,56,0
11516502720,258604317,3,4/18/2020 16:31,9,9,8,9,0,0,1,0,0,6,8,4,2,25,5,6,283,3,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,73,53,52,69,55,0
11516514324,258604317,7,4/18/2020 16:40,10,10,10,6,1,0,0,0,0,11,10,2,3,37,5,5,430,2,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,98,92,33,65,42,0
11516533154,258604317,18,4/18/2020 16:55,4,5,7,5,0,1,1,0,0,10,8,4,3,33,5,5,370,2,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,100,58,73,71,23,0
11516526937,258604317,9,4/18/2020 16:50,7,9,6,2,1,0,0,0,1,12,5,5,4,52,4,5,340,3,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,73,67,10,69,44,0
11516527150,258604317,8,4/18/2020 16:50,8,6,9,5,0,0,0,0,1,6,8,4,3,41,5,6,370,1,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,88,65,19,69,69,0
11516525525,258604317,7,4/18/2020 16:49,7,7,6,6,0,1,0,0,1,10,8,2,2,27,2,5,250,0,,,,0,1,0,0,0,0,0,0,0,0,1,0,1,58,44,40,31,58,0
11516523828,258604317,6,4/18/2020 16:48,7,8,9,9,0,1,0,0,1,11,7,3,3,32,4,5,240,2,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,83,48,4,62,62,0
11516523477,258604317,5,4/18/2020 16:47,8,9,9,4,0,0,1,0,0,6,7,3,3,33,4,5,390,2,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,13,92,10,65,79,0
11516530910,258604317,11,4/18/2020 16:54,9,6,8,1,0,0,0,0,0,10,7,2,5,62,4,5,420,0,,,,0,1,0,0,0,0,0,0,0,0,1,0,1,75,73,48,81,12.5,0
11516526995,258604317,6,4/18/2020 16:50,2,6,9,7,0,0,1,0,0,11,5,6,3,31,5,2,380,2,,,,0,1,0,0,0,0,0,0,0,0,1,0,1,56,77,4,88,65,0
11516526514,258604317,6,4/18/2020 16:50,6,5,5,5,0,1,1,0,1,2,8,4,3,30,7,5,450,3,,,,0,1,0,0,0,1,0,0,0,0,1,0,1,98,87.5,65,69,8,0
11516525378,258604317,5,4/18/2020 16:49,5,7,10,10,0,0,0,0,0,11,8,4,3,39,4,5,280,2,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,46,65,52,44,56,0
11516533308,258604317,8,4/18/2020 16:55,8,4,8,8,0,0,1,0,0,10,7,4,4,59,4,5,450,2,,,,0,1,0,0,0,0,1,0,0,0,1,0,1,96,92,27,87.5,44,0
11516531005,258604317,7,4/18/2020 16:54,2,1,9,7,0,0,0,0,1,6,9,4,3,33,3,3,280,0,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,60,52,0,36,79,0
11516528767,258604317,5,4/18/2020 16:52,8,2,4,2,1,1,0,0,0,5,5,8,4,47,5,5,420,3,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,19,90,27,81,10,0
11516531796,258604317,5,4/18/2020 16:54,10,5,8,8,1,1,1,0,1,6,8,3,3,39,5,4,330,3,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,25,75,12,44,29,0
11516543668,258604317,13,4/18/2020 17:04,7,9,10,10,1,0,0,0,0,10,6,5,4,56,5,5,400,3,,,,0,1,0,0,0,1,0,0,0,0,1,0,1,96,75,54,90,25,0
11516535618,258604317,6,4/18/2020 16:57,4,1,7,6,1,1,1,0,0,6,9,3,3,34,5,5,320,1,,,,0,1,0,0,0,1,0,0,0,0,1,0,1,50,69,79,83,6,0
11516533098,258604317,4,4/18/2020 16:55,8,8,10,6,0,0,0,0,0,6,8,3,3,39,4,5,500,3,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,69,100,25,90,0,0
11516541737,258604317,8,4/18/2020 17:02,9,8,9,9,0,0,0,0,0,10,7,4,4,56,3,5,350,4,,,,0,1,0,0,0,1,0,0,0,0,1,0,1,65,77,56,75,35,0
11516539919,258604317,6,4/18/2020 17:01,4,7,10,7,1,1,1,0,0,10,6,3,2,29,5,5,260,2,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,50,37.5,35,75,75,0
11516542696,258604317,6,4/18/2020 17:03,6,7,2,3,0,0,0,0,1,8,5,10,4,56,6,5,270,2,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,,,,,,1
11516552178,258604317,13,4/18/2020 17:11,8,9,8,6,1,1,0,0,0,6,8,3,3,31,3,5,380,3,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,87.5,67,48,62.5,42,0
11516549013,258604317,9,4/18/2020 17:08,10,7,5,7,0,1,1,0,0,8,8,4,4,51,5,4,390,2,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,73,75,44,60,50,0
11516546740,258604317,7,4/18/2020 17:06,5,5,4,9,0,0,0,0,1,10,10,4,4,48,5,5,500,2,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,1
11516545939,258604317,7,4/18/2020 17:06,8,10,5,8,1,0,0,0,0,11,5,2,2,28,3,5,350,1,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,42,67,29,87.5,42,0
11516563908,258604317,19,4/18/2020 17:20,1,4,6,8,0,1,0,1,1,8,5,3,4,56,4,5,440.00000000000006,5,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,75,48,10,62.5,10,0
11516556671,258604317,8,4/18/2020 17:15,4,7,6,6,0,1,0,0,1,7,7,6,3,38,5,4,290,4,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,50,58,58,52,46,0
11516558572,258604317,8,4/18/2020 17:16,7,7,9,9,0,0,1,0,0,1,7,5,2,18,4,5,190,1,,,,0,1,0,0,0,0,0,0,0,0,1,0,1,73,19,87,60,67,0
11516563864,258604327,11,4/18/2020 17:20,3,2,3,5,1,1,1,0,1,6,10,7,2,26,5,5,340,3,,,,0,1,0,0,0,0,0,0,0,0,1,0,1,88,50,88,46,67,0
11516560079,258604317,6,4/18/2020 17:17,3,4,7,7,1,1,1,0,0,12,3,2,3,37,5,5,470,3,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,79,94,42,21,31,0
11516570501,258604317,6,4/18/2020 17:26,8,7,8,6,1,1,1,0,0,6,8,2,3,34,4,5,370,2,,,,0,0,1,0,0,0,0,0,0,0,1,0,0,96,79,58,77,23,0
11516573039,258604317,5,4/18/2020 17:28,7,7,6,7,0,1,0,0,0,11,8,4,3,35,4,5,320,2,,,,0,1,0,0,0,0,0,0,0,0,1,0,1,35,83,27,67,46,0
11516578900,258604317,9,4/18/2020 17:33,6,5,8,10,0,0,1,0,0,10,5,2,3,43,5,5,229,2,,,,0,1,0,0,0,0,1,0,0,0,1,0,1,90,33,8,71,79,0
11516585571,258604317,4,4/18/2020 17:39,3,5,4,4,0,0,1,0,0,6,8,3,3,32,4,4,320,3,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,38,63,4,60,52,0
11516601294,258604317,10,4/18/2020 17:52,9,10,6,8,0,1,0,0,1,2,7,4,2,26,5,2,310,5,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,27,23,31,29,71,0
11516614588,258604317,7,4/18/2020 18:02,10,9,10,10,1,1,1,0,1,6,9,4,2,29,4,5,310,2,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,56,75,17,79,42,0
11516751847,258604317,5,4/18/2020 19:44,8,10,10,10,1,1,1,1,1,6,9,3,2,28,3,5,280,3,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,87,56,19,81,48,0
11517724952,258604327,14,4/19/2020 11:55,7,4,6,7,1,0,1,1,1,6,4,8,2,25,5,2,450,3,,,,0,1,0,0,0,0,0,0,0,0,1,0,1,69,73,69,56,35,0
11517835374,258604317,15,4/19/2020 13:15,8,8,9,7,0,0,0,0,1,10,5,2,2,23,3,2,290,2,,,,0,1,0,0,0,0,1,0,0,0,1,0,1,73,50,42,56,83,0
11517822949,258604317,6,4/19/2020 13:06,4,6,9,6,0,0,0,0,1,5,5,3,2,25,4,2,220.00000000000003,0,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,42,60,6,58,58,0
11517822062,258604317,6,4/19/2020 13:06,6,3,5,7,0,0,0,0,1,5,8,7,2,25,7,2,409,2,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,65,71,44,65,29,0
11517834797,258604317,14,4/19/2020 13:15,7,6,6,6,0,0,1,0,0,5,7,5,2,26,5,5,350,1,,,,0,1,0,0,0,1,0,0,0,0,1,0,1,69,75,71,54,52,0
11517830265,258604317,11,4/19/2020 13:12,9,9,10,7,0,1,0,0,1,4,8,6,2,26,4,2,500,2,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,96,98,79,90,2,0
11517827809,258604317,9,4/19/2020 13:10,6,5,7,7,0,0,1,0,0,5,3,5,2,20,5,3,430,2,,,,1,0,0,0,0,0,1,0,0,0,1,1,0,77,71,81,81,29,0
11517824587,258604317,6,4/19/2020 13:07,7,4,8,9,0,1,1,0,1,10,10,3,2,25,7,5,390,1,,,,0,1,0,0,0,1,0,0,0,0,1,0,1,96,69,37.5,73,58,0
11517824106,258604317,6,4/19/2020 13:07,7,8,10,6,0,1,1,0,0,5,7,6,2,26,5,5,310,2,,,,0,1,0,0,0,0,0,0,0,0,1,0,1,75,69,29,56,74,0
11517871924,258604317,40,4/19/2020 13:43,9,9,8,9,1,1,1,0,0,4,6,5,2,27,5,5,350,2,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,90,81,50,37.5,6,0
11517859813,258604317,31,4/19/2020 13:34,4,4,5,8,0,0,1,0,0,6,5,10,2,24,5,5,450,3,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,60,77,19,75,21,0
11517832541,258604317,10,4/19/2020 13:13,10,8,10,9,1,0,0,0,0,2,6,5,3,35,7,5,430,3,,,,0,1,0,0,0,1,0,0,0,0,1,0,1,90,83,0,96,44,0
11517829361,258604317,8,4/19/2020 13:11,4,2,8,10,0,1,0,0,0,5,10,6,2,22,5,5,480,3,,,,0,1,0,0,0,0,0,0,0,0,1,0,1,73,85,60,54,50,0
11517826622,258604317,6,4/19/2020 13:09,9,8,7,8,1,0,1,0,0,10,3,5,2,25,3,5,220.00000000000003,0,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,48,46,35,50,65,0
11517823147,258604317,3,4/19/2020 13:06,7,7,6,6,0,1,0,0,0,4,7,4,2,22,4,5,320,2,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,65,44,42,62.5,58,0
11517840833,258604317,16,4/19/2020 13:20,7,7,8,5,0,0,1,0,1,6,5,2,2,23,4,5,300,2,,,,0,1,0,0,0,0,0,0,0,0,1,0,1,81,58,37.5,67,69,0
11517830765,258604317,8,4/19/2020 13:12,9,10,9,8,1,1,1,0,1,11,3,2,2,24,4,3,300,0,,,,0,1,0,0,0,0,1,0,0,0,1,0,1,63,56,6,52,83,0
11517829897,258604317,7,4/19/2020 13:11,8,7,8,9,1,1,1,0,1,3,5,3,2,23,5,2,370,3,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,56,69,35,63,44,0
11517824720,258604317,4,4/19/2020 13:08,9,8,10,7,0,0,1,0,1,4,6,4,2,24,5,5,310,3,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,50,54,35,56,53,0
11517830331,258604317,7,4/19/2020 13:12,6,5,10,7,1,1,1,0,1,10,6,1,2,26,4,5,320,2,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,98,62,56,71,37,0
11517827234,258604317,4,4/19/2020 13:09,10,10,5,8,0,0,0,0,1,11,7,3,2,26,4,5,450,2,,,,0,1,0,0,0,0,0,0,0,0,1,0,1,73,71,17,77,27,0
11517832587,258604317,7,4/19/2020 13:13,8,7,7,3,0,0,1,0,1,10,10,4,2,24,5,5,340,3,,,,0,1,0,0,0,0,0,0,0,0,1,0,1,92,56,19,75,33,0
11517831022,258604317,6,4/19/2020 13:12,10,10,7,8,0,0,1,0,0,5,8,8,2,23,5,5,380,2,,,,0,1,0,0,0,1,0,0,0,0,1,0,1,52,83,48,65,58,0
11517841303,258604317,13,4/19/2020 13:20,9,9,8,8,0,1,1,0,0,11,8,7,2,23,3,3,480,0,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,81,81,83,85,8,0
11517835672,258604317,9,4/19/2020 13:16,8,10,8,8,0,1,1,0,0,11,9,6,2,23,3,3,490.00000000000006,3,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,65,94,46,85,6,0
11517836735,258604317,8,4/19/2020 13:16,10,10,10,8,0,0,1,0,0,10,10,1,2,24,3,5,430,2,,,,0,1,0,0,0,0,1,0,0,0,1,0,1,88,85,35,85,58,0
11517835704,258604317,8,4/19/2020 13:16,8,6,6,5,0,1,1,0,1,1,7,3,2,24,5,6,380,2,,,,0,1,0,0,0,1,0,0,0,0,1,0,1,75,83,21,67,65,0
11517831879,258604317,5,4/19/2020 13:13,7,6,9,7,0,1,0,0,0,6,4,4,2,26,5,5,290,0,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,52,46,12,44,10,0
11517836278,258604317,7,4/19/2020 13:16,6,10,10,10,1,1,1,0,1,6,10,5,2,24,4,5,480,2,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,85,96,42,92,0,0
