Respondent ID,Collector ID,Start Date,End Date,IP Address,Custom Data 1,Do you contribute to hiring and firing decisions at your company?,"For many professions, alternative credentials can qualify a person for an entry-level position.",It will soon become fairly conventional for high school graduates to obtain alternative credentials instead of going to college.,"When you add up the pros and cons for online education, it's probably a good thing for society overall.","When you add up the pros and cons for artificial intelligence, it's probably a good thing for society overall.",Have you heard of any of the following online course providers?,,,,,Which of these industries most closely matches your profession?,Government regulation helps ensure businesses treat individuals more fairly.,Gender?,Household Income?,Age?,[Optional] Github Username,Age,Gender,Household Income,Region,Device Type
10552888404,226270653,2/25/2019 8:27,2/25/2019 8:30,158.59.146.28,,2,8,3,6,8,,,,,,10,7,1,8,2,,,,,,
10552788027,226270653,2/25/2019 7:36,2/25/2019 7:38,66.68.165.234,,1,8,10,6,3,,,,,,10,2,2,6,4,,,,,,
10552289421,226272122,2/25/2019 1:15,2/25/2019 1:16,,9a7e507e7edfdb4778e4fc5ffc,1,10,10,10,10,1,2,3,4,5,12,10,2,3,3,,3,1,3,2,1
10552285110,226272122,2/25/2019 1:10,2/25/2019 1:11,,a1cb14ef51f54d87dd2be4da25,1,7,6,6,3,1,,,,,11,5,2,6,4,,4,1,6,9,2
10552285006,226272122,2/25/2019 1:10,2/25/2019 1:11,,18d16b699bdce75d54c73b7295,2,10,10,10,6,,,,,,10,7,2,4,5,,5,1,4,2,1
10552278866,226272122,2/25/2019 1:04,2/25/2019 1:05,,2c8579333a06de7310fb98b340,2,6,6,8,6,1,,,,,5,9,2,9,3,,4,1,4,9,2
10552278012,226272122,2/25/2019 1:04,2/25/2019 1:05,,c895255f8363b5f17f797cc1c1,1,6,8,5,3,,,,,5,1,9,2,5,4,,4,1,4,9,2
10552277912,226272122,2/25/2019 1:03,2/25/2019 1:05,,6e23aa4d8f5a70a9a319727b2f,1,7,10,10,8,,,,,5,2,7,2,4,4,,4,1,4,8,4
10552277571,226272122,2/25/2019 1:02,2/25/2019 1:04,,ddf53f49cc4716b0d537982dbd,1,9,10,10,10,1,2,,,,5,10,2,3,5,,5,1,3,9,1
10552276940,226272122,2/25/2019 1:03,2/25/2019 1:04,,71b559115ea8346a2386817e50,2,4,3,4,5,,,3,,,6,6,2,6,2,,4,1,3,3,2
10552276049,226272122,2/25/2019 1:01,2/25/2019 1:03,,545c2b2a4426ee414543be11bd,3,4,5,1,3,,,,,5,6,6,2,5,4,,4,1,5,9,2
10552275417,226272122,2/25/2019 1:00,2/25/2019 1:02,,e0850064cedc528280330656b2,2,10,7,6,6,,,,,5,7,7,2,4,4,,4,1,4,8,1
10552263134,226272122,2/25/2019 0:45,2/25/2019 0:47,,5439b1013b577ad30823aabe54,2,10,5,10,5,,,,,,8,10,2,2,4,,4,1,2,3,2
10552248698,226272122,2/25/2019 0:26,2/25/2019 0:31,,e778d9e8bcaa7e9ecac8e8c4ce,1,6,4,7,4,,,,,,11,5,2,6,3,,3,1,6,4,2
10552232944,226272122,2/25/2019 0:11,2/25/2019 0:13,,e201ff3fef6da850afa4a2584a,1,5,8,7,7,,2,,,,10,7,2,4,3,,3,1,4,5,1
10552220799,226272122,2/24/2019 23:58,2/24/2019 23:59,,6d7a8bd8862173e034cadefa5e,1,10,7,10,8,,2,,4,,3,9,2,7,3,,2,1,5,4,1
10552218615,226272122,2/24/2019 23:55,2/24/2019 23:57,,16e04dfdb49b673aa5dd8ad09f,2,10,10,10,10,1,,,,,4,8,1,2,2,,2,2,1,3,1
10552186991,226272122,2/24/2019 23:23,2/24/2019 23:23,,024d7f0112cde1ef9f2d48e848,1,5,3,10,9,,,,4,,8,6,2,8,4,,4,1,5,3,2
10552175425,226271827,2/24/2019 23:10,2/24/2019 23:11,174.204.24.168,,1,8,9,7,6,1,2,3,,5,10,7,2,6,2,,,,,,
10552175144,226272122,2/24/2019 23:09,2/24/2019 23:11,,484a01e5aa0eca246ca610e905,2,1,1,1,4,,2,3,,5,5,6,2,3,4,,4,1,3,5,2
10552174655,226272122,2/24/2019 23:07,2/24/2019 23:10,,2dda745dcbe705f386be58a91d,3,7,4,5,6,,,,,5,6,4,2,5,4,,4,1,5,9,2
10552172767,226272122,2/24/2019 23:07,2/24/2019 23:08,,9f00d98e4bea2c29b6b283fc99,1,7,10,8,6,,,3,,,4,10,2,8,4,,4,1,6,9,4
10552172744,226272122,2/24/2019 23:07,2/24/2019 23:08,,8598675793fa43c2a2383d097a,3,5,5,4,8,,,,,,11,5,2,3,5,,5,1,3,7,2
10552172518,226272122,2/24/2019 23:07,2/24/2019 23:08,,b78517f638099325187d8b087e,1,1,3,5,7,,,,,,9,6,2,11,4,,4,1,8,6,6
10552172421,226272122,2/24/2019 23:07,2/24/2019 23:08,,d1a12151e95257c069a0b05f8a,1,6,10,10,10,,2,3,4,5,10,10,1,3,4,,4,1,3,8,4
10552171689,226272122,2/24/2019 23:07,2/24/2019 23:07,,d5cdc5ca20fa5e9c25941cc951,1,3,8,6,5,,,3,,5,6,6,2,7,4,,4,1,6,9,1
10552163063,226272122,2/24/2019 22:55,2/24/2019 22:58,,dd05edd91773a227e1ea61f98c,1,6,5,6,5,,2,,,,6,6,2,7,3,,3,1,8,7,1
10552162754,226272122,2/24/2019 22:55,2/24/2019 22:58,,8229454902a5430c2ed8800e95,2,2,4,6,7,,,,,,9,8,2,3,3,,3,1,2,6,2
10552162734,226272122,2/24/2019 22:55,2/24/2019 22:58,,b73d9d2f35a8e481748a9b9ae6,1,1,1,1,10,1,,,,,11,1,2,7,1,,2,1,4,5,1
10552162558,226272122,2/24/2019 22:55,2/24/2019 22:57,,e2881eda4312fa748a70a96968,1,3,1,3,5,,,,,,11,6,2,5,3,,3,1,5,5,1
10552162473,226272122,2/24/2019 22:54,2/24/2019 22:57,,6b358681b8afbd5071fa92a9ee,1,6,6,8,5,,,,,5,5,7,2,4,3,,3,1,4,3,1
10552162319,226272122,2/24/2019 22:55,2/24/2019 22:57,,4dae4c9496f641d005ef7e2bc3,3,3,6,9,5,,,,,,5,5,1,2,2,,2,2,11,9,2
10552162263,226272122,2/24/2019 22:56,2/24/2019 22:57,,f639e9af45124ffdca7083ad91,1,5,5,5,4,1,,,,,8,6,2,5,3,,3,1,4,3,1
10552162224,226272122,2/24/2019 22:55,2/24/2019 22:57,,cac10607c8cd3dd8f44cf5f7e9,2,10,1,4,1,,,,,,7,1,3,2,2,,3,1,2,5,1
10552162153,226272122,2/24/2019 22:55,2/24/2019 22:57,,b0594f3cf84f8940b9805c6f20,2,8,7,10,7,,,3,,,10,7,2,4,3,,3,1,5,3,1
10552162102,226272122,2/24/2019 22:55,2/24/2019 22:57,,3800759e8b1e277f0067dc203c,3,5,8,6,6,,2,,,5,10,8,2,3,2,,2,1,3,5,2
10552162088,226272122,2/24/2019 22:56,2/24/2019 22:57,,eaa63131b19ffca03c7ff71407,3,7,8,4,9,,,,,,2,5,2,4,2,,2,1,3,5,1
10552162048,226272122,2/24/2019 22:55,2/24/2019 22:57,,0d2043482f52c2e83bcc698c5d,1,8,5,5,4,1,2,3,,5,6,10,2,9,2,,2,1,10,3,2
10552161997,226272122,2/24/2019 22:56,2/24/2019 22:57,,9a35a066e9aec9d5234983d8ce,1,10,10,10,10,,,3,4,5,2,10,2,10,2,,3,1,7,5,2
10552161966,226272122,2/24/2019 22:54,2/24/2019 22:57,,637d3553aff29f0695b69de6c4,2,6,3,4,5,,,,,5,10,5,2,4,3,,3,1,3,4,1
10552161877,226272122,2/24/2019 22:54,2/24/2019 22:57,,a1fc58ef8e126e71bedccd1c8a,2,9,6,7,8,,,,,,4,8,2,4,2,,2,1,1,7,1
10552161762,226272122,2/24/2019 22:56,2/24/2019 22:56,,6994f92afa0686f786879ee046,1,5,5,6,3,,,3,,,6,6,2,2,2,,2,1,3,1,1
10552161531,226272122,2/24/2019 22:56,2/24/2019 22:56,,77c2989866ceae12dd4bdb4677,2,7,5,8,8,,,3,,,10,9,3,11,3,,2,1,2,7,1
10552161523,226272122,2/24/2019 22:55,2/24/2019 22:56,,372f63258f9522c477ede369ef,2,8,6,5,3,,,,,,9,5,2,8,3,,3,1,8,5,2
10552161319,226272122,2/24/2019 22:54,2/24/2019 22:56,,9e58363af4e7f9a2e645527765,3,7,6,8,2,,,,,,10,3,2,4,2,,2,1,4,9,1
10552157325,226272122,2/24/2019 22:51,2/24/2019 22:52,,6090e29c80f0e34571e772100c,2,5,7,5,5,1,,3,,,2,6,2,2,2,,2,1,1,3,2
10552154963,226272122,2/24/2019 22:46,2/24/2019 22:49,,9bcb8ffcc89a5e20a18d81710f,2,5,5,8,2,1,,,,,10,1,1,3,4,,4,2,4,4,1
10552153894,226272122,2/24/2019 22:46,2/24/2019 22:51,,50930e2fdcb5b443f39cc10238,2,7,7,9,9,1,,,,,11,8,2,2,4,,4,1,2,8,2
10552153672,226272122,2/24/2019 22:44,2/24/2019 22:48,,c698122920b0d62570f49274f4,3,5,5,5,1,,,,,,10,4,1,6,4,,4,2,11,5,2
10552153562,226272122,2/24/2019 22:45,2/24/2019 22:48,,b6052b605f6be0ee8d880ee2a6,2,7,3,3,8,1,2,3,,,6,3,1,5,5,,5,2,5,5,2
10552153517,226272122,2/24/2019 22:46,2/24/2019 22:48,,13198564b3d65011af951e1b39,1,6,7,8,6,1,2,,,,10,6,1,4,4,,4,2,4,1,1
10552153089,226272122,2/24/2019 22:45,2/24/2019 22:47,,e69797965d7566b8c93197edbf,3,6,9,8,3,,,,,,11,2,1,3,5,,4,2,3,9,2
10552152672,226272122,2/24/2019 22:46,2/24/2019 22:47,,d7bc7ef931797aef9b04826be5,1,8,8,9,9,,,,,,5,7,1,8,4,,4,2,8,5,2
10552152667,226272122,2/24/2019 22:45,2/24/2019 22:47,,7f340537a2b034981cfac9e0e5,2,5,9,8,8,,,3,,,10,7,1,6,4,,4,2,5,6,1
10552151899,226272122,2/24/2019 22:44,2/24/2019 22:46,,ede2d48c33097fde2eccf2ad21,2,8,3,6,5,,,,,,12,10,1,5,4,,4,2,5,2,1
10552151780,226272122,2/24/2019 22:44,2/24/2019 22:46,,1d4b5c70f4f443b26c5e64dd2d,3,7,7,5,9,1,,,,,10,4,1,6,5,,5,2,5,3,1
10552151705,226272122,2/24/2019 22:43,2/24/2019 22:46,,d45d246c7598cce1eda44d86fb,3,10,5,10,1,,,,,,5,5,1,2,5,,5,2,2,6,2
10552151541,226272122,2/24/2019 22:44,2/24/2019 22:46,,de5433b6343b8ed7726e70f1a9,2,10,8,6,7,,,,,,6,7,2,4,4,,4,1,4,4,2
10552151214,226272122,2/24/2019 22:43,2/24/2019 22:45,,8e2a3db19e63a3f7fd053421d6,2,9,7,9,6,,,,,,6,5,1,4,4,,4,2,4,8,1
10552151208,226272122,2/24/2019 22:43,2/24/2019 22:45,,b19a8ce8920330b0c823d76f26,1,4,5,4,1,,,3,,,10,9,1,7,4,,4,2,6,3,1
10552150914,226272122,2/24/2019 22:44,2/24/2019 22:45,,b7200a3babbedcb7a8d829e087,1,6,1,5,10,,,,,,11,5,1,4,4,,4,2,4,3,1
10552150849,226272122,2/24/2019 22:44,2/24/2019 22:45,,3752207cc9b1ad72ec4b3edee8,2,8,5,10,2,,,,,,2,1,1,6,4,,4,2,6,6,1
10552150756,226272122,2/24/2019 22:43,2/24/2019 22:45,,9618e83815d1c7e7e30b6b9a41,2,7,8,9,6,,,3,,,5,7,1,3,4,,4,2,8,5,1
10552150734,226272122,2/24/2019 22:43,2/24/2019 22:45,,58656e71bf781fc3b689489e82,2,5,6,4,4,,,,,,5,3,2,9,4,,4,1,9,5,4
10552150286,226272122,2/24/2019 22:42,2/24/2019 22:44,,14c7437f2072ae9e48e932769b,2,7,4,5,7,,,,,,10,8,1,2,4,,4,2,3,5,2
10552150160,226272122,2/24/2019 22:42,2/24/2019 22:44,,66fb75026890a7f461c49b3f80,2,5,3,8,2,,,3,,,4,7,1,3,4,,4,2,3,2,4
10552150133,226272122,2/24/2019 22:43,2/24/2019 22:44,,65a2d1f1834e81fbc1b63f6e20,2,6,7,7,3,,2,,,,4,5,1,2,4,,4,2,1,6,1
10552150067,226272122,2/24/2019 22:42,2/24/2019 22:44,,f4a2418bd5edaa19f20d3ac258,2,3,7,6,2,,,,,,4,5,1,4,5,,5,2,4,7,1
10552147515,226272122,2/24/2019 22:39,2/24/2019 22:41,,5dc147a9b98b6db32db9e6a3d0,2,5,4,8,5,,,,,,10,8,1,5,4,,4,2,5,5,2
10552140161,226272122,2/24/2019 22:31,2/24/2019 22:33,,008fd2007b361d91f91266513c,2,7,6,10,9,1,,,,,5,1,2,3,2,,2,1,4,9,2
10552136119,226272122,2/24/2019 22:26,2/24/2019 22:29,,235ca89006d9c49bb59e8ed1b5,2,3,5,3,2,,,,,5,6,3,2,5,4,,,,,,
10552133355,226272122,2/24/2019 22:23,2/24/2019 22:26,,dba848b8fe842587cf645dc85a,3,5,1,6,1,,,,,,2,4,1,3,5,,5,2,3,4,4
10552133121,226272122,2/24/2019 22:24,2/24/2019 22:26,,b1b59657dc0c030bba34177f0a,2,2,2,2,1,,2,3,,5,10,2,1,5,4,,5,2,5,5,2
10552133091,226272122,2/24/2019 22:23,2/24/2019 22:26,,68a41219339c1d3ffe7b6b6508,2,5,5,1,1,,,,,,5,8,1,4,4,,4,2,4,6,1
10552133056,226272122,2/24/2019 22:23,2/24/2019 22:26,,9965290564b441e6b3b675ad86,3,10,10,10,10,,,,4,,2,9,1,1,5,,5,2,1,9,2
10552132798,226272122,2/24/2019 22:23,2/24/2019 22:25,,f1802bde3ab8592b2146c870f4,2,10,10,10,10,,,,4,,10,10,1,2,4,,4,2,2,8,1
10552132633,226272122,2/24/2019 22:24,2/24/2019 22:25,,9a63b69e7e9709f4e42f9ea63b,2,6,5,5,6,,2,,,,3,6,1,4,4,,4,2,4,5,1
10552132259,226272122,2/24/2019 22:23,2/24/2019 22:25,,4a2f2203804964f5406eb593ba,2,10,10,10,3,1,,,,,2,2,1,6,4,,4,2,6,3,1
10552131708,226272122,2/24/2019 22:23,2/24/2019 22:24,,9a6acdb78351fd8a957ea73295,2,9,4,2,9,,,,4,,8,9,1,10,4,,4,2,9,9,1
10552131579,226272122,2/24/2019 22:23,2/24/2019 22:24,,9983c7c2d3e7b65feafd443b2f,1,8,8,5,6,,,,,,5,5,1,6,3,,5,2,6,9,1
10552123027,226271827,2/24/2019 22:13,2/24/2019 22:15,208.54.35.200,,1,7,8,7,7,1,2,3,4,5,7,6,1,4,3,,,,,,
10552119700,226272122,2/24/2019 22:10,2/24/2019 22:11,,5c7a748bf102975e011da62e6c,2,10,3,6,3,,,,,5,11,8,1,3,2,,2,2,3,2,1
10552118410,226272122,2/24/2019 22:08,2/24/2019 22:10,,8bdf473fb0477e2ea66692a138,2,5,7,9,1,,2,,,,10,5,2,4,2,,2,1,1,9,2
10552115183,226272122,2/24/2019 22:05,2/24/2019 22:07,,60409639709ed7739cb35c6a56,1,9,10,10,10,,,3,,,10,10,2,3,2,,2,1,3,9,2
10552109394,226272122,2/24/2019 21:58,2/24/2019 22:00,,044c9c8f3d1b931f2d920c1934,1,6,8,6,7,1,2,3,,5,11,8,3,11,4,,4,1,3,5,2
10552108891,226272122,2/24/2019 21:58,2/24/2019 22:00,,77a03064811a62f814487fbd0d,2,6,5,7,5,,,3,,,11,6,2,3,4,,4,1,3,3,4
10552107780,226272122,2/24/2019 21:57,2/24/2019 21:59,,1c7745813b02aff6044b29c92a,1,8,5,9,6,,,,4,,7,10,2,6,4,,4,1,6,8,2
10552107476,226272122,2/24/2019 21:56,2/24/2019 21:58,,34bdfde8dab06f5d3b0a952df0,1,1,6,4,3,1,,,,,2,7,2,6,4,,4,1,5,2,1
10552107369,226272122,2/24/2019 21:56,2/24/2019 21:58,,7c4a21b64ebd8a07a0b0ba166a,2,6,4,5,4,1,,,,,3,5,2,7,4,,4,1,7,5,1
10552107307,226272122,2/24/2019 21:58,2/24/2019 21:58,,70a2bddf9bcf275d711de0e873,1,4,5,6,7,,,3,,,7,7,2,6,3,,4,1,6,3,2
10552098254,226272122,2/24/2019 21:48,2/24/2019 21:49,,1098fc3d1e8c8d962c77bf1eec,2,6,4,4,5,1,,,,,5,5,1,3,2,,2,2,3,9,1
10552092059,226272122,2/24/2019 21:40,2/24/2019 21:43,,680e97844a39d78e3ff765a553,2,6,4,7,6,,,3,,,11,7,1,3,2,,2,2,11,7,2
10552091863,226272122,2/24/2019 21:42,2/24/2019 21:43,,106cb8e23a0fbb46bbb6beb059,1,8,4,6,6,,2,,,5,3,7,1,3,2,,2,2,2,7,2
10552085958,226272122,2/24/2019 21:35,2/24/2019 21:37,,67037f6a3c66cb3f7a5fac467c,2,6,5,6,9,,,,,,5,7,1,8,5,,5,2,7,3,1
10552085932,226272122,2/24/2019 21:35,2/24/2019 21:37,,61c022dea40c07a5cd0b35c5f0,1,2,1,3,5,,,,,,7,5,1,4,5,,5,2,4,8,1
10552085918,226272122,2/24/2019 21:35,2/24/2019 21:37,,6266972b007e513917cad38b93,2,4,5,6,5,,,,,5,5,5,1,5,4,,4,2,3,3,2
10552085756,226272122,2/24/2019 21:35,2/24/2019 21:37,,7ec319fd1abdd7328d520d2d4f,1,10,8,10,6,,,,4,,5,8,1,2,4,,4,2,2,5,1
10552085505,226272122,2/24/2019 21:34,2/24/2019 21:36,,4340dbbfcd37bdd5f4430f52d0,2,8,6,5,5,,,,4,,10,5,1,11,4,,4,2,11,7,1
10552085243,226272122,2/24/2019 21:35,2/24/2019 21:36,,b931cb63f078f6c25cebc8ed7e,1,10,8,7,7,,,,4,,5,8,1,6,5,,5,2,5,5,2
10552084596,226272122,2/24/2019 21:34,2/24/2019 21:35,,7b64c9fdde331f5ed9644b6e6d,1,3,5,3,1,,2,,,,2,9,1,6,5,,5,2,7,6,1
10552082385,226272122,2/24/2019 21:32,2/24/2019 21:33,,a76fabad2cdd90418dbb263dc7,2,6,6,6,6,,,,,5,5,6,1,3,4,,4,2,3,1,2
10552079936,226272122,2/24/2019 21:19,2/24/2019 21:31,,16d543d7d8e8ce7425c6c2a3e7,2,7,5,5,5,,,,4,,10,5,2,2,2,,2,1,11,9,2
10552071491,226272122,2/24/2019 21:20,2/24/2019 21:22,,ce7d429da1ab57ac3a5fa380f2,3,4,3,8,4,1,,,,,10,5,1,4,4,,4,2,4,5,1
10552070647,226272122,2/24/2019 21:20,2/24/2019 21:22,,7eac3a533d1630e57d70f90dfd,2,10,6,6,6,1,2,,,5,6,6,2,4,4,,4,1,4,5,2
10552066253,226272122,2/24/2019 21:15,2/24/2019 21:17,,55e8284e57a6e91c4fa9bfda8f,2,6,6,8,6,,,3,,,6,5,1,4,4,,4,2,4,9,1
10552065612,226272122,2/24/2019 21:15,2/24/2019 21:17,,1ede1275f8f1080e16e81d20a4,2,9,3,2,3,,,,,,5,8,1,10,3,,3,2,10,9,1
10552065371,226272122,2/24/2019 21:16,2/24/2019 21:17,,03c29374bc68bd43251fa684a2,2,3,4,7,2,,2,,,,6,8,2,1,1,,2,1,1,3,1
10552058539,226272122,2/24/2019 21:09,2/24/2019 21:10,,0e31749bca8ffbfa04986c0118,1,5,6,7,5,1,,,,,6,5,2,3,2,,2,1,1,3,2
10552056216,226272122,2/24/2019 21:05,2/24/2019 21:07,,9255548c095425fe49d20c9fc3,2,5,10,10,10,1,,,,,5,5,1,2,2,,2,2,2,9,2
10552055301,226272122,2/24/2019 21:05,2/24/2019 21:07,,8d5983e62be9f68ff7016a2764,2,5,6,6,5,,,,,,5,7,1,7,3,,3,2,8,2,1
10552050696,226272122,2/24/2019 21:01,2/24/2019 21:02,,ad05551d6a51cf777b8a040f01,1,7,7,7,8,,,,4,,2,7,2,11,1,,2,1,11,9,1
10552045660,226272122,2/24/2019 20:55,2/24/2019 20:57,,9c56808d48be05ee29a902d97a,2,8,4,5,2,,,3,,,10,5,2,5,3,,3,1,11,9,2
10552044375,226272122,2/24/2019 20:49,2/24/2019 20:55,,ea8ac9bdec1ab5ac7d590fce06,1,6,7,10,5,,,3,,,6,3,1,4,4,,4,2,3,8,1
10552043691,226272122,2/24/2019 20:53,2/24/2019 20:55,,573fec51b1cd7e234c97915ced,2,9,8,8,7,1,2,3,4,5,6,7,2,5,3,,3,1,5,6,2
10552042966,226272122,2/24/2019 20:52,2/24/2019 20:54,,4d4795087396db8fbd1674fc73,1,6,8,4,6,,,,,,10,1,2,4,3,,3,1,4,4,2
10552041849,226272122,2/24/2019 20:51,2/24/2019 20:53,,97dd480328f015c18e88390b5f,2,10,5,8,6,1,,,,,10,7,2,3,5,,5,1,3,4,2
10552040931,226272122,2/24/2019 20:51,2/24/2019 20:52,,f05c4c3efba3dab1263ba3005c,1,6,4,7,4,,2,,,,6,3,1,6,3,,3,2,6,5,1
10552039782,226272122,2/24/2019 20:50,2/24/2019 20:51,,d8eb584a64b4a27b222aa4aa29,1,4,5,7,5,,,3,,,8,8,1,7,3,,3,2,5,9,1
10552039698,226272122,2/24/2019 20:50,2/24/2019 20:51,,dd1284b9700666e692c968bd49,2,10,10,8,6,,,,,5,8,10,1,3,2,,2,2,2,4,2
10552039504,226272122,2/24/2019 20:47,2/24/2019 20:51,,539be04b60a478c483c7ff5567,2,1,1,1,1,,,,,,8,10,2,3,4,,4,1,4,6,2
10552039491,226272122,2/24/2019 20:46,2/24/2019 20:51,,82ca60f33f6676de52339a8146,2,8,7,6,4,,2,,,,4,6,1,5,3,,3,2,5,7,1
10552039454,226272122,2/24/2019 20:47,2/24/2019 20:51,,3d16614d998a8d7bb328c85c64,1,6,4,4,3,1,,,,,6,10,2,11,5,,5,1,7,9,1
10552039155,226272122,2/24/2019 20:47,2/24/2019 20:50,,9c45f13587eba0240afe035e7b,1,3,3,7,3,,,,,,7,4,2,4,4,,4,1,3,4,2
10552038739,226272122,2/24/2019 20:47,2/24/2019 20:50,,9d415f4f33d829152b6fcc47b4,1,8,3,8,3,,,,,,4,9,2,3,5,,5,1,4,8,4
10552037963,226272122,2/24/2019 20:46,2/24/2019 20:49,,63a679f3b05b31e73336bb69eb,1,6,6,6,1,,,,,,1,2,2,3,5,,5,1,3,5,1
10552037910,226272122,2/24/2019 20:46,2/24/2019 20:49,,e3f820984db1e778896bf9fb6c,2,4,7,3,3,1,,,,,10,9,2,3,4,,4,1,3,5,1
10552037734,226272122,2/24/2019 20:46,2/24/2019 20:49,,09c1d1f173d82ddd77055d7f5e,1,6,6,8,7,,2,,,,10,8,1,5,3,,3,2,4,6,1
10552037715,226272122,2/24/2019 20:48,2/24/2019 20:49,,f91fb132f0a3cb061caa10b769,1,2,7,5,2,,,3,,,6,6,2,7,3,,2,1,6,9,1
10552037331,226272122,2/24/2019 20:46,2/24/2019 20:48,,86f06c5940fff7cfacc1f222fe,2,5,5,5,5,,,,,,5,9,1,11,3,,3,2,11,3,1
10552037326,226272122,2/24/2019 20:46,2/24/2019 20:48,,f710bba46cb7f595324d024623,2,7,1,5,9,,,,,,6,6,2,5,4,,4,1,5,5,1
10552037302,226272122,2/24/2019 20:47,2/24/2019 20:48,,7406f629b51ddd7e0bf469d711,1,8,7,8,6,1,,,,,3,6,2,4,3,,4,1,3,4,2
10552037144,226272122,2/24/2019 20:46,2/24/2019 20:48,,dc69116ddab889411d5ea16cd1,1,8,7,9,8,1,,,,,2,10,1,3,3,,3,2,3,3,1
10552037139,226272122,2/24/2019 20:46,2/24/2019 20:48,,74c2e56fbf74bf8007451a43b2,2,9,5,3,9,1,,,,,11,5,1,5,2,,2,2,5,2,1
10552037137,226272122,2/24/2019 20:46,2/24/2019 20:48,,1c51d32d492d7d5a765e1fce08,2,8,10,1,5,,,,,,1,2,2,5,4,,4,1,5,3,2
10552037100,226272122,2/24/2019 20:47,2/24/2019 20:48,,45b791122ef2f8cda1871e18ca,2,1,6,8,5,,,,4,,5,6,2,1,2,,2,1,1,4,1
10552036934,226272122,2/24/2019 20:46,2/24/2019 20:48,,5eff8dccc1b2b0b45edb5509cb,2,7,3,5,5,1,,,,,8,9,1,1,2,,2,2,1,9,1
10552036817,226272122,2/24/2019 20:46,2/24/2019 20:48,,2f520d2cf563cbef4d99c59a07,3,1,4,9,1,,2,,,,2,1,1,9,3,,3,2,11,9,1
10552036800,226272122,2/24/2019 20:46,2/24/2019 20:48,,8fbdcfa3f2b43c188c1619c9b4,2,8,3,5,7,,,,,,1,5,1,5,3,,3,2,5,7,2
10552036794,226272122,2/24/2019 20:46,2/24/2019 20:48,,5799318382396b48718c9beb3a,2,6,5,4,4,,,,,,10,6,2,4,4,,4,1,4,5,2
10552036627,226272122,2/24/2019 20:46,2/24/2019 20:48,,84c5eeba4c930cade649fd0826,1,10,10,10,10,,,,,,2,3,1,5,2,,2,2,5,5,1
10552036372,226272122,2/24/2019 20:46,2/24/2019 20:47,,109b330cef84c9de45ba25c38d,2,8,8,1,1,,,3,,,5,7,1,4,3,,3,2,3,8,1
10552036197,226272122,2/24/2019 20:46,2/24/2019 20:47,,7f9b73057cdd5fd8fe037b7ff3,1,2,8,10,5,,,,,5,11,9,1,2,3,,3,2,2,5,2
10552035556,226272122,2/24/2019 20:46,2/24/2019 20:46,,3f1f54e36764c25b1c5c3279d2,2,1,1,1,1,1,,,,,5,1,1,4,2,,2,2,7,3,1
