"RespondentID","CollectorID","EndDate","FavorEntryLevel","FavorConventionalSoon","FavorOnlineEducation","FavorAI","HeardOfUdacity","HeardOfUdemy","HeardOfCoursera","HeardOfPluralsight","HeardOfLynda","Industry","FavorRegulation","ReportedIncome","ReportedExactAge","Education","Ethnicity","FavorReligion","IsReportedMale","IsReportedFemale","IsReportedNonbinary","IsUnreportedGender","IsReportedIncomePreferNotDisclose","IsManager","IsUnemployed","IsStem","IsNotStem","IsUnsureStem","IsUnreportedStem","IsMale","IsFemale"
"11150826296","249964463","11/17/2019 8:48","5","4","6","7","0","0","0","0","0","10","6","6","20","3","5","1","1","0","0","0","0","0","1","0","1","0","0","1","0"
"11150827422","249964463","11/17/2019 8:48","7","3","7","5","1","1","1","0","1","6","8","4","24","6","2","1","1","0","0","0","0","0","0","0","1","0","0","1","0"
"11150827964","249964463","11/17/2019 8:49","8","9","7","5","0","0","0","0","0","11","3","1","22","4","5","10","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150832917","249964463","11/17/2019 8:58","10","10","8","10","0","0","0","0","0","10","7","5","23","2","5","1","1","0","0","0","0","0","1","0","1","0","0","1","0"
"11150842565","249964463","11/17/2019 9:04","10","10","10","10","1","1","1","1","1","12","5","3","24","4","4","1","1","0","0","0","0","0","0","0","1","0","0","1","0"
"11150843476","249964463","11/17/2019 9:05","5","5","6","5","0","1","0","0","0","10","6","1","25","5","5","6","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150848967","249964463","11/17/2019 9:10","10","9","9","9","0","0","1","0","0","11","9","6","22","3","3","10","1","0","0","0","0","1","0","0","1","0","0","1","0"
"11150849622","249964463","11/17/2019 9:11","7","6","7","8","1","1","0","0","0","2","7","3","25","5","5","4","1","0","0","0","0","0","0","1","0","0","0","1","0"
"11150851143","249964463","11/17/2019 9:12","5","8","9","3","1","0","1","0","0","8","3","3","26","5","5","1","1","0","0","0","0","1","0","0","1","0","0","1","0"
"11150855592","249964463","11/17/2019 9:17","6","8","8","6","0","0","1","0","0","11","6","4","25","4","5","9","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150859203","249964463","11/17/2019 9:20","4","6","7","6","0","0","1","0","1","8","4","7","23","5","3","1","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150859559","249964463","11/17/2019 9:21","8","8","7","8","0","0","1","0","1","2","7","5","23","5","5","8","0","1","0","0","0","1","0","1","0","0","0","0","1"
"11150860187","249964463","11/17/2019 9:22","8","7","6","4","1","0","0","0","0","10","9","4","23","5","5","2","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150868541","249964463","11/17/2019 9:29","8","8","10","10","0","0","0","0","1","5","9","10","24","5","5","6","0","1","0","0","0","1","0","0","0","1","0","0","1"
"11150872993","249964463","11/17/2019 9:33","8","6","6","8","0","0","0","0","1","12","7","3","27","5","4","2","1","0","0","0","0","1","0","0","1","0","0","1","0"
"11150874272","249964463","11/17/2019 9:35","2","1","5","4","1","1","1","0","1","5","10","5","27","5","5","1","0","1","0","0","0","1","0","1","0","0","0","0","1"
"11150878502","249964463","11/17/2019 9:39","7","10","8","6","0","1","0","0","1","11","8","3","23","3","5","4","0","1","0","0","0","0","1","0","1","0","0","0","1"
"11150892198","249964463","11/17/2019 9:52","7","7","8","7","0","1","1","0","0","10","9","2","26","5","5","1","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150897436","249964463","11/17/2019 9:57","1","3","6","6","0","0","0","0","1","4","7","2","23","5","5","5","0","1","0","0","0","0","0","0","1","0","0","0","1"
"11150898089","249964463","11/17/2019 9:58","7","6","6","6","0","0","1","0","0","8","6","4","23","4","4","4","1","0","0","0","0","1","0","0","1","0","0","1","0"
"11150908926","249964463","11/17/2019 10:08","5","5","5","5","0","1","0","0","0","3","4","4","26","3","5","4","1","0","0","0","0","1","0","0","1","0","0","1","0"
"11150909089","249964463","11/17/2019 10:08","7","5","10","10","0","1","1","0","1","10","8","3","27","4","5","1","0","1","0","0","0","0","1","0","1","0","0","0","1"
