Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Do you contribute to hiring and firing decisions at your company?,"For many professions, alternative credentials can qualify a person for an entry-level position.",It will soon become fairly conventional for high school graduates to obtain alternative credentials instead of going to college.,"When you add up the pros and cons for online education, it's probably a good thing for society overall.","When you add up the pros and cons for artificial intelligence, it's probably a good thing for society overall.",Have you heard of any of the following online course providers?,,,,,Which of these industries most closely matches your profession?,Government regulation helps ensure businesses treat individuals more fairly.,Gender?,Household Income?,Age?,[Optional] Github Username,Age,Gender,Household Income,Region,Device Type
10552161966,226272122,02/24/2019 10:54:45 PM,02/24/2019 10:57:13 PM,,,,,637d3553aff29f0695b69de6c4,2,6,3,4,5,,,,,5,10,5,2,4,3,,3,1,3,4,1
10552161877,226272122,02/24/2019 10:54:51 PM,02/24/2019 10:57:06 PM,,,,,a1fc58ef8e126e71bedccd1c8a,2,9,6,7,8,,,,,,4,8,2,4,2,,2,1,1,7,1
10552161762,226272122,02/24/2019 10:56:28 PM,02/24/2019 10:56:59 PM,,,,,6994f92afa0686f786879ee046,1,5,5,6,3,,,3,,,6,6,2,2,2,,2,1,3,1,1
10552161531,226272122,02/24/2019 10:56:09 PM,02/24/2019 10:56:44 PM,,,,,77c2989866ceae12dd4bdb4677,2,7,5,8,8,,,3,,,10,9,3,11,3,,2,1,2,7,1
10552161523,226272122,02/24/2019 10:55:13 PM,02/24/2019 10:56:43 PM,,,,,372f63258f9522c477ede369ef,2,8,6,5,3,,,,,,9,5,2,8,3,,3,1,8,5,2
10552161319,226272122,02/24/2019 10:54:45 PM,02/24/2019 10:56:31 PM,,,,,9e58363af4e7f9a2e645527765,3,7,6,8,2,,,,,,10,3,2,4,2,,2,1,4,9,1
10552157325,226272122,02/24/2019 10:51:14 PM,02/24/2019 10:52:19 PM,,,,,6090e29c80f0e34571e772100c,2,5,7,5,5,1,,3,,,2,6,2,2,2,,2,1,1,3,2
10552154963,226272122,02/24/2019 10:46:19 PM,02/24/2019 10:49:49 PM,,,,,9bcb8ffcc89a5e20a18d81710f,2,5,5,8,2,1,,,,,10,1,1,3,4,,4,2,4,4,1
10552153894,226272122,02/24/2019 10:46:10 PM,02/24/2019 10:51:13 PM,,,,,50930e2fdcb5b443f39cc10238,2,7,7,9,9,1,,,,,11,8,2,2,4,,4,1,2,8,2
10552153672,226272122,02/24/2019 10:44:37 PM,02/24/2019 10:48:25 PM,,,,,c698122920b0d62570f49274f4,3,5,5,5,1,,,,,,10,4,1,6,4,,4,2,11,5,2
10552153562,226272122,02/24/2019 10:45:44 PM,02/24/2019 10:48:18 PM,,,,,b6052b605f6be0ee8d880ee2a6,2,7,3,3,8,1,2,3,,,6,3,1,5,5,,5,2,5,5,2
10552153517,226272122,02/24/2019 10:46:17 PM,02/24/2019 10:48:15 PM,,,,,13198564b3d65011af951e1b39,1,6,7,8,6,1,2,,,,10,6,1,4,4,,4,2,4,1,1
10552153089,226272122,02/24/2019 10:45:20 PM,02/24/2019 10:47:49 PM,,,,,e69797965d7566b8c93197edbf,3,6,9,8,3,,,,,,11,2,1,3,5,,4,2,3,9,2
10552152672,226272122,02/24/2019 10:46:18 PM,02/24/2019 10:47:22 PM,,,,,d7bc7ef931797aef9b04826be5,1,8,8,9,9,,,,,,5,7,1,8,4,,4,2,8,5,2
10552152667,226272122,02/24/2019 10:45:40 PM,02/24/2019 10:47:22 PM,,,,,7f340537a2b034981cfac9e0e5,2,5,9,8,8,,,3,,,10,7,1,6,4,,4,2,5,6,1
10552151899,226272122,02/24/2019 10:44:32 PM,02/24/2019 10:46:28 PM,,,,,ede2d48c33097fde2eccf2ad21,2,8,3,6,5,,,,,,12,10,1,5,4,,4,2,5,2,1
10552151780,226272122,02/24/2019 10:44:38 PM,02/24/2019 10:46:19 PM,,,,,1d4b5c70f4f443b26c5e64dd2d,3,7,7,5,9,1,,,,,10,4,1,6,5,,5,2,5,3,1
10552151705,226272122,02/24/2019 10:43:46 PM,02/24/2019 10:46:14 PM,,,,,d45d246c7598cce1eda44d86fb,3,10,5,10,1,,,,,,5,5,1,2,5,,5,2,2,6,2
10552151541,226272122,02/24/2019 10:44:06 PM,02/24/2019 10:46:04 PM,,,,,de5433b6343b8ed7726e70f1a9,2,10,8,6,7,,,,,,6,7,2,4,4,,4,1,4,4,2
10552151214,226272122,02/24/2019 10:43:04 PM,02/24/2019 10:45:43 PM,,,,,8e2a3db19e63a3f7fd053421d6,2,9,7,9,6,,,,,,6,5,1,4,4,,4,2,4,8,1
10552151208,226272122,02/24/2019 10:43:20 PM,02/24/2019 10:45:43 PM,,,,,b19a8ce8920330b0c823d76f26,1,4,5,4,1,,,3,,,10,9,1,7,4,,4,2,6,3,1
10552150914,226272122,02/24/2019 10:44:00 PM,02/24/2019 10:45:25 PM,,,,,b7200a3babbedcb7a8d829e087,1,6,1,5,10,,,,,,11,5,1,4,4,,4,2,4,3,1
10552150849,226272122,02/24/2019 10:44:17 PM,02/24/2019 10:45:21 PM,,,,,3752207cc9b1ad72ec4b3edee8,2,8,5,10,2,,,,,,2,1,1,6,4,,4,2,6,6,1
10552150756,226272122,02/24/2019 10:43:44 PM,02/24/2019 10:45:15 PM,,,,,9618e83815d1c7e7e30b6b9a41,2,7,8,9,6,,,3,,,5,7,1,3,4,,4,2,8,5,1
10552150734,226272122,02/24/2019 10:43:44 PM,02/24/2019 10:45:15 PM,,,,,58656e71bf781fc3b689489e82,2,5,6,4,4,,,,,,5,3,2,9,4,,4,1,9,5,4
10552150286,226272122,02/24/2019 10:42:48 PM,02/24/2019 10:44:46 PM,,,,,14c7437f2072ae9e48e932769b,2,7,4,5,7,,,,,,10,8,1,2,4,,4,2,3,5,2
10552150160,226272122,02/24/2019 10:42:46 PM,02/24/2019 10:44:38 PM,,,,,66fb75026890a7f461c49b3f80,2,5,3,8,2,,,3,,,4,7,1,3,4,,4,2,3,2,4
10552150133,226272122,02/24/2019 10:43:20 PM,02/24/2019 10:44:36 PM,,,,,65a2d1f1834e81fbc1b63f6e20,2,6,7,7,3,,2,,,,4,5,1,2,4,,4,2,1,6,1
10552150067,226272122,02/24/2019 10:42:30 PM,02/24/2019 10:44:31 PM,,,,,f4a2418bd5edaa19f20d3ac258,2,3,7,6,2,,,,,,4,5,1,4,5,,5,2,4,7,1
10552147515,226272122,02/24/2019 10:39:43 PM,02/24/2019 10:41:42 PM,,,,,5dc147a9b98b6db32db9e6a3d0,2,5,4,8,5,,,,,,10,8,1,5,4,,4,2,5,5,2
10552140161,226272122,02/24/2019 10:31:20 PM,02/24/2019 10:33:56 PM,,,,,008fd2007b361d91f91266513c,2,7,6,10,9,1,,,,,5,1,2,3,2,,2,1,4,9,2
10552136119,226272122,02/24/2019 10:26:38 PM,02/24/2019 10:29:26 PM,,,,,235ca89006d9c49bb59e8ed1b5,2,3,5,3,2,,,,,5,6,3,2,5,4,,,,,,
10552133355,226272122,02/24/2019 10:23:34 PM,02/24/2019 10:26:22 PM,,,,,dba848b8fe842587cf645dc85a,3,5,1,6,1,,,,,,2,4,1,3,5,,5,2,3,4,4
10552133121,226272122,02/24/2019 10:24:21 PM,02/24/2019 10:26:05 PM,,,,,b1b59657dc0c030bba34177f0a,2,2,2,2,1,,2,3,,5,10,2,1,5,4,,5,2,5,5,2
10552133091,226272122,02/24/2019 10:23:44 PM,02/24/2019 10:26:03 PM,,,,,68a41219339c1d3ffe7b6b6508,2,5,5,1,1,,,,,,5,8,1,4,4,,4,2,4,6,1
10552133056,226272122,02/24/2019 10:23:04 PM,02/24/2019 10:26:01 PM,,,,,9965290564b441e6b3b675ad86,3,10,10,10,10,,,,4,,2,9,1,1,5,,5,2,1,9,2
10552132798,226272122,02/24/2019 10:23:55 PM,02/24/2019 10:25:45 PM,,,,,f1802bde3ab8592b2146c870f4,2,10,10,10,10,,,,4,,10,10,1,2,4,,4,2,2,8,1
10552132633,226272122,02/24/2019 10:24:29 PM,02/24/2019 10:25:35 PM,,,,,9a63b69e7e9709f4e42f9ea63b,2,6,5,5,6,,2,,,,3,6,1,4,4,,4,2,4,5,1
10552132259,226272122,02/24/2019 10:23:15 PM,02/24/2019 10:25:11 PM,,,,,4a2f2203804964f5406eb593ba,2,10,10,10,3,1,,,,,2,2,1,6,4,,4,2,6,3,1
10552131708,226272122,02/24/2019 10:23:26 PM,02/24/2019 10:24:36 PM,,,,,9a6acdb78351fd8a957ea73295,2,9,4,2,9,,,,4,,8,9,1,10,4,,4,2,9,9,1
10552131579,226272122,02/24/2019 10:23:09 PM,02/24/2019 10:24:29 PM,,,,,9983c7c2d3e7b65feafd443b2f,1,8,8,5,6,,,,,,5,5,1,6,3,,5,2,6,9,1
10552123027,226271827,02/24/2019 10:13:04 PM,02/24/2019 10:15:27 PM,208.54.35.200,,,,,1,7,8,7,7,1,2,3,4,5,7,6,1,4,3,,,,,,
10552119700,226272122,02/24/2019 10:10:19 PM,02/24/2019 10:11:57 PM,,,,,5c7a748bf102975e011da62e6c,2,10,3,6,3,,,,,5,11,8,1,3,2,,2,2,3,2,1
10552118410,226272122,02/24/2019 10:08:58 PM,02/24/2019 10:10:34 PM,,,,,8bdf473fb0477e2ea66692a138,2,5,7,9,1,,2,,,,10,5,2,4,2,,2,1,1,9,2
10552115183,226272122,02/24/2019 10:05:35 PM,02/24/2019 10:07:11 PM,,,,,60409639709ed7739cb35c6a56,1,9,10,10,10,,,3,,,10,10,2,3,2,,2,1,3,9,2
10552109394,226272122,02/24/2019 09:58:39 PM,02/24/2019 10:00:57 PM,,,,,044c9c8f3d1b931f2d920c1934,1,6,8,6,7,1,2,3,,5,11,8,3,11,4,,4,1,3,5,2
10552108891,226272122,02/24/2019 09:58:39 PM,02/24/2019 10:00:25 PM,,,,,77a03064811a62f814487fbd0d,2,6,5,7,5,,,3,,,11,6,2,3,4,,4,1,3,3,4
10552107780,226272122,02/24/2019 09:57:41 PM,02/24/2019 09:59:14 PM,,,,,1c7745813b02aff6044b29c92a,1,8,5,9,6,,,,4,,7,10,2,6,4,,4,1,6,8,2
10552107476,226272122,02/24/2019 09:56:56 PM,02/24/2019 09:58:58 PM,,,,,34bdfde8dab06f5d3b0a952df0,1,1,6,4,3,1,,,,,2,7,2,6,4,,4,1,5,2,1
10552107369,226272122,02/24/2019 09:56:43 PM,02/24/2019 09:58:50 PM,,,,,7c4a21b64ebd8a07a0b0ba166a,2,6,4,5,4,1,,,,,3,5,2,7,4,,4,1,7,5,1
10552107307,226272122,02/24/2019 09:58:15 PM,02/24/2019 09:58:45 PM,,,,,70a2bddf9bcf275d711de0e873,1,4,5,6,7,,,3,,,7,7,2,6,3,,4,1,6,3,2
10552098254,226272122,02/24/2019 09:48:47 PM,02/24/2019 09:49:26 PM,,,,,1098fc3d1e8c8d962c77bf1eec,2,6,4,4,5,1,,,,,5,5,1,3,2,,2,2,3,9,1
10552092059,226272122,02/24/2019 09:40:32 PM,02/24/2019 09:43:14 PM,,,,,680e97844a39d78e3ff765a553,2,6,4,7,6,,,3,,,11,7,1,3,2,,2,2,11,7,2
10552091863,226272122,02/24/2019 09:42:03 PM,02/24/2019 09:43:02 PM,,,,,106cb8e23a0fbb46bbb6beb059,1,8,4,6,6,,2,,,5,3,7,1,3,2,,2,2,2,7,2
10552085958,226272122,02/24/2019 09:35:26 PM,02/24/2019 09:37:47 PM,,,,,67037f6a3c66cb3f7a5fac467c,2,6,5,6,9,,,,,,5,7,1,8,5,,5,2,7,3,1
10552085932,226272122,02/24/2019 09:35:42 PM,02/24/2019 09:37:15 PM,,,,,61c022dea40c07a5cd0b35c5f0,1,2,1,3,5,,,,,,7,5,1,4,5,,5,2,4,8,1
10552085918,226272122,02/24/2019 09:35:32 PM,02/24/2019 09:37:14 PM,,,,,6266972b007e513917cad38b93,2,4,5,6,5,,,,,5,5,5,1,5,4,,4,2,3,3,2
10552085756,226272122,02/24/2019 09:35:39 PM,02/24/2019 09:37:04 PM,,,,,7ec319fd1abdd7328d520d2d4f,1,10,8,10,6,,,,4,,5,8,1,2,4,,4,2,2,5,1
10552085505,226272122,02/24/2019 09:34:47 PM,02/24/2019 09:36:49 PM,,,,,4340dbbfcd37bdd5f4430f52d0,2,8,6,5,5,,,,4,,10,5,1,11,4,,4,2,11,7,1
10552085243,226272122,02/24/2019 09:35:18 PM,02/24/2019 09:36:34 PM,,,,,b931cb63f078f6c25cebc8ed7e,1,10,8,7,7,,,,4,,5,8,1,6,5,,5,2,5,5,2
10552084596,226272122,02/24/2019 09:34:39 PM,02/24/2019 09:35:55 PM,,,,,7b64c9fdde331f5ed9644b6e6d,1,3,5,3,1,,2,,,,2,9,1,6,5,,5,2,7,6,1
10552082385,226272122,02/24/2019 09:32:28 PM,02/24/2019 09:33:40 PM,,,,,a76fabad2cdd90418dbb263dc7,2,6,6,6,6,,,,,5,5,6,1,3,4,,4,2,3,1,2
10552079936,226272122,02/24/2019 09:19:10 PM,02/24/2019 09:31:17 PM,,,,,16d543d7d8e8ce7425c6c2a3e7,2,7,5,5,5,,,,4,,10,5,2,2,2,,2,1,11,9,2
10552071491,226272122,02/24/2019 09:20:44 PM,02/24/2019 09:22:54 PM,,,,,ce7d429da1ab57ac3a5fa380f2,3,4,3,8,4,1,,,,,10,5,1,4,4,,4,2,4,5,1
10552070647,226272122,02/24/2019 09:20:46 PM,02/24/2019 09:22:00 PM,,,,,7eac3a533d1630e57d70f90dfd,2,10,6,6,6,1,2,,,5,6,6,2,4,4,,4,1,4,5,2
10552066253,226272122,02/24/2019 09:15:44 PM,02/24/2019 09:17:57 PM,,,,,55e8284e57a6e91c4fa9bfda8f,2,6,6,8,6,,,3,,,6,5,1,4,4,,4,2,4,9,1
10552065612,226272122,02/24/2019 09:15:42 PM,02/24/2019 09:17:21 PM,,,,,1ede1275f8f1080e16e81d20a4,2,9,3,2,3,,,,,,5,8,1,10,3,,3,2,10,9,1
10552065371,226272122,02/24/2019 09:16:25 PM,02/24/2019 09:17:06 PM,,,,,03c29374bc68bd43251fa684a2,2,3,4,7,2,,2,,,,6,8,2,1,1,,2,1,1,3,1
10552058539,226272122,02/24/2019 09:09:46 PM,02/24/2019 09:10:24 PM,,,,,0e31749bca8ffbfa04986c0118,1,5,6,7,5,1,,,,,6,5,2,3,2,,2,1,1,3,2
10552056216,226272122,02/24/2019 09:05:51 PM,02/24/2019 09:07:57 PM,,,,,9255548c095425fe49d20c9fc3,2,5,10,10,10,1,,,,,5,5,1,2,2,,2,2,2,9,2
10552055301,226272122,02/24/2019 09:05:39 PM,02/24/2019 09:07:00 PM,,,,,8d5983e62be9f68ff7016a2764,2,5,6,6,5,,,,,,5,7,1,7,3,,3,2,8,2,1
10552050696,226272122,02/24/2019 09:01:07 PM,02/24/2019 09:02:14 PM,,,,,ad05551d6a51cf777b8a040f01,1,7,7,7,8,,,,4,,2,7,2,11,1,,2,1,11,9,1
10552045660,226272122,02/24/2019 08:55:39 PM,02/24/2019 08:57:07 PM,,,,,9c56808d48be05ee29a902d97a,2,8,4,5,2,,,3,,,10,5,2,5,3,,3,1,11,9,2
10552044375,226272122,02/24/2019 08:49:36 PM,02/24/2019 08:55:49 PM,,,,,ea8ac9bdec1ab5ac7d590fce06,1,6,7,10,5,,,3,,,6,3,1,4,4,,4,2,3,8,1
10552043691,226272122,02/24/2019 08:53:15 PM,02/24/2019 08:55:09 PM,,,,,573fec51b1cd7e234c97915ced,2,9,8,8,7,1,2,3,4,5,6,7,2,5,3,,3,1,5,6,2
10552042966,226272122,02/24/2019 08:52:03 PM,02/24/2019 08:54:27 PM,,,,,4d4795087396db8fbd1674fc73,1,6,8,4,6,,,,,,10,1,2,4,3,,3,1,4,4,2
10552041849,226272122,02/24/2019 08:51:12 PM,02/24/2019 08:53:22 PM,,,,,97dd480328f015c18e88390b5f,2,10,5,8,6,1,,,,,10,7,2,3,5,,5,1,3,4,2
10552040931,226272122,02/24/2019 08:51:29 PM,02/24/2019 08:52:30 PM,,,,,f05c4c3efba3dab1263ba3005c,1,6,4,7,4,,2,,,,6,3,1,6,3,,3,2,6,5,1
10552039782,226272122,02/24/2019 08:50:53 PM,02/24/2019 08:51:40 PM,,,,,d8eb584a64b4a27b222aa4aa29,1,4,5,7,5,,,3,,,8,8,1,7,3,,3,2,5,9,1
10552039698,226272122,02/24/2019 08:50:11 PM,02/24/2019 08:51:15 PM,,,,,dd1284b9700666e692c968bd49,2,10,10,8,6,,,,,5,8,10,1,3,2,,2,2,2,4,2
10552039504,226272122,02/24/2019 08:47:59 PM,02/24/2019 08:51:03 PM,,,,,539be04b60a478c483c7ff5567,2,1,1,1,1,,,,,,8,10,2,3,4,,4,1,4,6,2
10552039491,226272122,02/24/2019 08:46:22 PM,02/24/2019 08:51:03 PM,,,,,82ca60f33f6676de52339a8146,2,8,7,6,4,,2,,,,4,6,1,5,3,,3,2,5,7,1
