Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,has_responded,Do you contribute to hiring and firing decisions at your company?,"For many professions, alternative credentials can qualify a person for an entry-level position.",What is your age?,Which best describes your ethnicity?,"Do you believe that your last name reflects your ethnicity? For example, Smith identifies a white ethnicity, so if Maria Smith identifies as Hispanic, she should choose ""No.""","Please visit http://name-prism.com/ and type your name into the search box in the middle of the page. Click ""Get Ethnicity.""According to NamePrism, which best describes your ethnicity?",Which of these industries most closely matches your profession?,Age,Gender,Household Income,Region,Device Type
10017616950,211103599,05/13/2018 11:46:59 PM,05/13/2018 11:48:33 PM,,,,,aa36bbdba6f5c577288dd1c0b5,True,Yes,4,69,Hispanic,Yes,White,Other,> 60,Male,"$50,000-$74,999",Pacific,Windows Desktop / Laptop
10017610207,211103599,05/13/2018 11:33:35 PM,05/13/2018 11:34:40 PM,,,,,d6465c030965c707ad594792d4,True,Unemployed,5,64,White,Yes,White,Transportation,> 60,Male,Prefer not to answer,West North Central,iOS Phone / Tablet
10017603484,211103599,05/13/2018 11:20:19 PM,05/13/2018 11:21:22 PM,,,,,71c03211b8b7b94189ec0e1bc3,True,No,6,55,White,Yes,White,Health,45-60,Male,"$25,000-$49,999",New England,iOS Phone / Tablet
10017585640,211103599,05/13/2018 10:47:15 PM,05/13/2018 10:48:16 PM,,,,,8807a8ac9121bbea853859e746,True,No,4,68,White,Yes,White,Education,> 60,Male,"$75,000-$99,999",East North Central,Windows Desktop / Laptop
10017559421,211103599,05/13/2018 10:01:00 PM,05/13/2018 10:03:36 PM,,,,,5747ed9448e3bcf1c0c6335a60,True,No,Strongly Agree,27,Hispanic,Yes,Hispanic,Other,18-29,Male,"$10,000-$24,999",Pacific,Android Phone / Tablet
10017538667,211103599,05/13/2018 09:26:02 PM,05/13/2018 09:27:40 PM,,,,,ddc21ca6f0862b564e8d96e4d0,True,Yes,3,70,White,No,White,Education,> 60,Male,Prefer not to answer,West North Central,Windows Desktop / Laptop
10017538465,211103599,05/13/2018 09:24:54 PM,05/13/2018 09:27:19 PM,,,,,eb87dd833899e2a9577238c488,True,No,Strongly Agree,36,White,Yes,White,Information Technology,30-44,Male,"$100,000-$124,999",Pacific,Android Phone / Tablet
10017532925,211103599,05/13/2018 09:15:11 PM,05/13/2018 09:17:28 PM,,,,,df119533703081014601630ffd,True,Unemployed,6,84,White,Yes,White,Other,> 60,Male,Prefer not to answer,Pacific,Windows Desktop / Laptop
10017518373,211103599,05/13/2018 08:50:19 PM,05/13/2018 08:51:33 PM,,,,,660bfbb038e3edc2cf9d35a441,True,No,6,55,White,No,White,Energy,45-60,Male,Prefer not to answer,West South Central,Android Phone / Tablet
10017516471,211103599,05/13/2018 08:45:15 PM,05/13/2018 08:47:51 PM,,,,,bb86a6a350aaea19ceb3a17eae,True,Unemployed,5,67,White,Yes,White,Retail,> 60,Female,Prefer not to answer,South Atlantic,Android Phone / Tablet
10017514886,211103599,05/13/2018 08:39:47 PM,05/13/2018 08:44:46 PM,,,,,2d1056d8d598dbf4dcc9a78912,True,No,7,23,White,Yes,White,Health,18-29,Female,"$100,000-$124,999",Pacific,Windows Desktop / Laptop
10017512556,211103599,05/13/2018 08:39:24 PM,05/13/2018 08:40:27 PM,,,,,61a9cd96bf054c02969955ec1a,True,No,Strongly Agree,65,White,No,White,Transportation,> 60,Male,"$75,000-$99,999",Pacific,iOS Phone / Tablet
10017510653,211103599,05/13/2018 08:35:44 PM,05/13/2018 08:37:34 PM,,,,,bc657dacd5b7f89bf476627828,True,No,Strongly Agree,23,White,Yes,White,Health,18-29,Female,"$10,000-$24,999",South Atlantic,iOS Phone / Tablet
10017510521,211103599,05/13/2018 08:36:05 PM,05/13/2018 08:37:41 PM,,,,,f862255de6f413ca0cfacf2f6b,True,Yes,5,73,White,No,White,Other,> 60,Female,Prefer not to answer,Middle Atlantic,Windows Desktop / Laptop
10017509127,211103599,05/13/2018 08:33:06 PM,05/13/2018 08:34:59 PM,,,,,d47bd9967aa8a343471db2ad23,True,No,3,31,Native American,Yes,Black,Other,30-44,Female,"$0-$9,999",Pacific,iOS Phone / Tablet
10017508968,211103599,05/13/2018 08:32:50 PM,05/13/2018 08:34:22 PM,,,,,fabdfd21555ba24928b6be5b39,True,Yes,Strongly Agree,44,White,Yes,White,Agriculture,30-44,Female,"$150,000-$174,999",South Atlantic,iOS Phone / Tablet
10017508572,211103599,05/13/2018 08:31:13 PM,05/13/2018 08:33:37 PM,,,,,46f763095263c03ffb6130140a,True,No,Strongly Disagree,54,White,Yes,White,"Finance, Investment, or Accounting",45-60,Female,Prefer not to answer,West South Central,iOS Phone / Tablet
10017507879,211103599,05/13/2018 08:30:55 PM,05/13/2018 08:32:17 PM,,,,,8985341295e22cb9a3b24ead0e,True,No,6,48,White,No,White,Other,45-60,Male,"$50,000-$74,999",East North Central,Android Phone / Tablet
10017507240,211103599,05/13/2018 08:30:13 PM,05/13/2018 08:31:05 PM,,,,,4fbd4c3413e153da931b674adc,True,No,8,62,White,Yes,White,Education,> 60,Female,"$75,000-$99,999",South Atlantic,Windows Desktop / Laptop
10017506816,211103599,05/13/2018 08:29:13 PM,05/13/2018 08:30:15 PM,,,,,dc93bc5761a2a65762cad48fc9,True,No,3,33,White,No,Black,Health,30-44,Female,Prefer not to answer,Middle Atlantic,Windows Desktop / Laptop
10017505204,211103599,05/13/2018 08:24:32 PM,05/13/2018 08:27:06 PM,,,,,e01eed6d24cf7bcee44c3e3a39,True,Unemployed,9,61,White,Yes,White,Military,> 60,Female,"$125,000-$149,999",West South Central,Windows Desktop / Laptop
10017502370,211103599,05/13/2018 08:19:57 PM,05/13/2018 08:21:15 PM,,,,,a4dcda38ae06d386cb9fc82353,True,No,7,37,White,Yes,White,Health,30-44,Female,"$50,000-$74,999",Middle Atlantic,iOS Phone / Tablet
10017494924,211103599,05/13/2018 08:04:41 PM,05/13/2018 08:06:46 PM,,,,,5e02b361e6d225a8f2d5f35abe,True,No,5,68,White,No,White,Other,> 60,Male,"$75,000-$99,999",West South Central,Windows Desktop / Laptop
10017492074,211103599,05/13/2018 07:56:41 PM,05/13/2018 08:01:03 PM,,,,,68bcc2c5bde66399dccb5ee869,True,No,6,46,Hispanic,No,White,Other,45-60,Male,"$150,000-$174,999",Middle Atlantic,iOS Phone / Tablet
10017489654,211103599,05/13/2018 07:55:24 PM,05/13/2018 07:56:25 PM,,,,,8216f4a5d73870f1d73df76db4,True,No,4,67,Black,Yes,White,Education,> 60,Female,"$75,000-$99,999",East South Central,iOS Phone / Tablet
10017487685,211103599,05/13/2018 07:51:38 PM,05/13/2018 07:53:00 PM,,,,,298f164536806aa775308f7e67,True,No,6,70,White,No,White,Education,> 60,Male,"$100,000-$124,999",New England,Windows Desktop / Laptop
10017483464,211103599,05/13/2018 07:46:31 PM,05/13/2018 07:48:00 PM,,,,,636840fd0b775c01cb641b9183,True,Unemployed,5,77,White,No,White,Education,> 60,Female,"$100,000-$124,999",West South Central,Windows Desktop / Laptop
10017482693,211103599,05/13/2018 07:44:04 PM,05/13/2018 07:47:09 PM,,,,,1a475aea25dc74d702ba9cea84,True,No,4,62,White,No,White,Health,> 60,Female,"$50,000-$74,999",Pacific,Windows Desktop / Laptop
10017479131,211103599,05/13/2018 07:40:01 PM,05/13/2018 07:43:22 PM,,,,,933b2c79f2f75c7ff82a5db365,True,No,Strongly Agree,60,White,Yes,White,Health,> 60,Female,"$175,000-$199,999",East North Central,Windows Desktop / Laptop
10017478793,211103599,05/13/2018 07:41:42 PM,05/13/2018 07:42:58 PM,,,,,b624dc3cb244ba29a618391dbf,True,No,Strongly Agree,35,Black,Yes,Black,Agriculture,30-44,Male,"$10,000-$24,999",West South Central,Android Phone / Tablet
10017478610,211103599,05/13/2018 07:29:26 PM,05/13/2018 07:44:13 PM,,,,,c77218ecdd536c44d63d2c25ed,True,No,4,57,White,No,White,Health,45-60,Female,"$25,000-$49,999",West North Central,Windows Desktop / Laptop
10017472581,211103599,05/13/2018 07:30:10 PM,05/13/2018 07:32:22 PM,,,,,c18821f45c3b15cad97f6251ef,True,Unemployed,5,71,White,Yes,White,Education,> 60,Female,"$75,000-$99,999",South Atlantic,iOS Phone / Tablet
10017466708,211103599,05/13/2018 07:18:07 PM,05/13/2018 07:19:35 PM,,,,,b4532e6f8759ce8ed1d2a5c7c0,True,Unemployed,4,57,White,No,White,Education,45-60,Female,"$25,000-$49,999",Mountain,iOS Phone / Tablet
10017464569,211103599,05/13/2018 07:01:44 PM,05/13/2018 07:14:58 PM,,,,,ce25cd8cc03a9b009bc8d2d423,True,Unemployed,6,67,White,No,White,Health,> 60,Female,"$100,000-$124,999",West North Central,MacOS Desktop / Laptop
10017464535,211103599,05/13/2018 07:06:23 PM,05/13/2018 07:14:55 PM,,,,,1a8a0b1ec5c4c4494f58e3a6f2,True,No,3,19,Hispanic,No,Hispanic,Law,18-29,Male,"$50,000-$74,999",Middle Atlantic,Windows Desktop / Laptop
10017463591,211103599,05/13/2018 07:11:40 PM,05/13/2018 07:12:56 PM,,,,,c594488d2fff79e2f2949a9a7b,True,No,Strongly Agree,68,White,No,White,Health,> 60,Female,"$25,000-$49,999",Middle Atlantic,Android Phone / Tablet
10017461307,211103599,05/13/2018 07:06:33 PM,05/13/2018 07:07:59 PM,,,,,b5473e9cfebf0387d5e80f6600,True,No,9,40,White,Yes,White,Health,30-44,Female,Prefer not to answer,East North Central,iOS Phone / Tablet
10017458471,211103599,05/13/2018 06:58:20 PM,05/13/2018 07:02:04 PM,,,,,e6723d34b74cf89f40d5c61714,True,Unemployed,2,77,White,No,White,Other,> 60,Female,"$10,000-$24,999",East North Central,Windows Desktop / Laptop
10017452071,211103599,05/13/2018 06:44:25 PM,05/13/2018 06:45:53 PM,,,,,1adaec2c12d0c9468a8cddc462,True,No,6,23,White,Yes,White,"Finance, Investment, or Accounting",18-29,Female,"$200,000+",South Atlantic,Android Phone / Tablet
10017443605,211103599,05/13/2018 06:24:54 PM,05/13/2018 06:25:35 PM,,,,,808a5044489d85fc01cdd83db1,True,No,6,29,White,No,White,Retail,18-29,Female,"$50,000-$74,999",Mountain,MacOS Desktop / Laptop
10017441372,211103599,05/13/2018 06:15:48 PM,05/13/2018 06:20:10 PM,,,,,83a589de31d9c95d5247410e24,True,Unemployed,5,65,White,No,White,Other,> 60,Female,"$25,000-$49,999",South Atlantic,Windows Desktop / Laptop
10017439766,211103599,05/13/2018 06:15:33 PM,05/13/2018 06:16:23 PM,,,,,426c4175ac01ac8207036668aa,True,Yes,5,67,White,Yes,White,Health,> 60,Female,"$75,000-$99,999",Middle Atlantic,Windows Desktop / Laptop
10017439658,211103599,05/13/2018 06:15:23 PM,05/13/2018 06:16:09 PM,,,,,9cea443b453fc8ea481bff564b,True,No,3,31,White,No,White,Education,30-44,Female,"$125,000-$149,999",Middle Atlantic,Android Phone / Tablet
10017437060,211103599,05/13/2018 06:07:43 PM,05/13/2018 06:09:50 PM,,,,,f28adb76ff648a1921131cb8f5,True,Unemployed,6,31,White,No,White,Other,30-44,Female,"$0-$9,999",East North Central,Windows Desktop / Laptop
10017436901,211103599,05/13/2018 06:07:56 PM,05/13/2018 06:09:27 PM,,,,,b1e813fa47e42e6ae7966982ee,True,Yes,Strongly Agree,76,White,No,AIAN,Other,> 60,Male,"$75,000-$99,999",Pacific,MacOS Desktop / Laptop
10017436628,211103599,05/13/2018 06:07:42 PM,05/13/2018 06:08:45 PM,,,,,e71f9f4e9011efba306d60003b,True,No,3,20,Black,No,Black,Retail,18-29,Female,"$25,000-$49,999",West South Central,Android Phone / Tablet
10017432806,211103599,05/13/2018 05:57:53 PM,05/13/2018 05:59:17 PM,,,,,89889626e147ce96af57932123,True,Yes,5,55,White,Yes,White,Education,45-60,Female,Prefer not to answer,South Atlantic,Android Phone / Tablet
10017430956,211103599,05/13/2018 05:52:05 PM,05/13/2018 05:54:39 PM,,,,,35c7f78cf4c81b12205dc76194,True,Unemployed,8,53,Black,No,White,Education,45-60,Female,Prefer not to answer,Middle Atlantic,Windows Desktop / Laptop
10017430898,211103599,05/13/2018 05:52:34 PM,05/13/2018 05:54:32 PM,,,,,60d425468829270b1c81ce4823,True,Unemployed,3,57,White,No,White,Other,45-60,Female,"$10,000-$24,999",East North Central,Windows Desktop / Laptop
10017430573,211103599,05/13/2018 05:51:59 PM,05/13/2018 05:53:46 PM,,,,,16eff24e45962c66cb569dfea5,True,No,Strongly Agree,66,White,Yes,White,Health,> 60,Female,"$50,000-$74,999",Middle Atlantic,iOS Phone / Tablet
10017429675,211103599,05/13/2018 05:49:09 PM,05/13/2018 05:51:34 PM,,,,,a9a14ebb795cf7090ae4de5520,True,No,Strongly Agree,47,White,Yes,White,Health,45-60,Female,"$10,000-$24,999",East South Central,Android Phone / Tablet
10017429034,211103599,05/13/2018 05:48:32 PM,05/13/2018 05:49:55 PM,,,,,cd9f7b2d119eb6721cbe58fe27,True,No,3,65,White,Yes,White,Education,> 60,Female,"$25,000-$49,999",South Atlantic,iOS Phone / Tablet
10017427149,211103599,05/13/2018 05:44:09 PM,05/13/2018 05:45:09 PM,,,,,c5a492cf7265303d66aea9c076,True,Unemployed,6,80,White,No,White,Health,> 60,Male,"$125,000-$149,999",South Atlantic,Windows Desktop / Laptop
10017426660,211103599,05/13/2018 05:41:53 PM,05/13/2018 05:43:54 PM,,,,,cb360a0cd0a82a15c0a94b602f,True,No,5,30,White,Yes,White,Other,30-44,Female,"$10,000-$24,999",New England,Windows Desktop / Laptop
10017426443,211103599,05/13/2018 05:39:36 PM,05/13/2018 05:43:22 PM,,,,,b5dc6914afaca99fff8df46195,True,Unemployed,2,63,White,Yes,White,Law,> 60,Female,Prefer not to answer,West South Central,iOS Phone / Tablet
10017426076,211103599,05/13/2018 05:40:39 PM,05/13/2018 05:42:21 PM,,,,,e77fde47eb6f11e357471e8f3b,True,No,7,47,White,Yes,White,Information Technology,45-60,Male,"$100,000-$124,999",Mountain,Android Phone / Tablet
10017423169,211103599,05/13/2018 05:34:10 PM,05/13/2018 05:35:12 PM,,,,,f8f649349483800726b8f1cda4,True,Unemployed,5,74,White,No,White,Education,> 60,Female,Prefer not to answer,New England,iOS Phone / Tablet
10017422957,211103599,05/13/2018 05:32:34 PM,05/13/2018 05:34:42 PM,,,,,2e8a1c36aabbc238af44359749,True,Unemployed,7,58,White,No,White,Other,> 60,Female,Prefer not to answer,South Atlantic,Windows Desktop / Laptop
10017422472,211103599,05/13/2018 05:32:48 PM,05/13/2018 05:33:27 PM,,,,,2f64e1b9925f60085df69e86f5,True,Unemployed,6,19,White,No,White,Agriculture,18-29,Female,Prefer not to answer,West South Central,iOS Phone / Tablet
10017421972,211103599,05/13/2018 05:31:19 PM,05/13/2018 05:32:14 PM,,,,,7d2a8bbe9f54f38e4e10295d7c,True,Yes,5,70,White,No,White,"Finance, Investment, or Accounting",> 60,Female,"$200,000+",Middle Atlantic,Android Phone / Tablet
