Do you contribute to hiring and firing decisions at your company?,"For many professions, alternative credentials can qualify a person for an entry-level position.",What is your age?,Which best describes your ethnicity?,"Do you believe that your last name reflects your ethnicity? For example, Smith identifies a white ethnicity, so if Maria Smith identifies as Hispanic, she should choose ""No.""","Please visit http://name-prism.com/ and type your name into the search box in the middle of the page. Click ""Get Ethnicity.""According to NamePrism, which best describes your ethnicity?",Which of these industries most closely matches your profession?,Age,Gender,Household Income,Region
Unemployed,5,77,White,No,White,Education,> 60,Female,"$100,000-$124,999",West South Central
No,4,62,White,No,White,Health,> 60,Female,"$50,000-$74,999",Pacific
No,10,60,White,Yes,White,Health,> 60,Female,"$175,000-$199,999",East North Central
No,10,35,Black,Yes,Black,Agriculture,30-44,Male,"$10,000-$24,999",West South Central
No,4,57,White,No,White,Health,45-60,Female,"$25,000-$49,999",West North Central
Unemployed,5,71,White,Yes,White,Education,> 60,Female,"$75,000-$99,999",South Atlantic
Unemployed,4,57,White,No,White,Education,45-60,Female,"$25,000-$49,999",Mountain
Unemployed,6,67,White,No,White,Health,> 60,Female,"$100,000-$124,999",West North Central
No,3,19,Hispanic,No,Hispanic,Law,18-29,Male,"$50,000-$74,999",Middle Atlantic
No,10,68,White,No,White,Health,> 60,Female,"$25,000-$49,999",Middle Atlantic
No,9,40,White,Yes,White,Health,30-44,Female,Prefer not to answer,East North Central
Unemployed,2,77,White,No,White,Other,> 60,Female,"$10,000-$24,999",East North Central
No,6,23,White,Yes,White,"Finance, Investment, or Accounting",18-29,Female,"$200,000+",South Atlantic
No,6,29,White,No,White,Retail,18-29,Female,"$50,000-$74,999",Mountain
Unemployed,5,65,White,No,White,Other,> 60,Female,"$25,000-$49,999",South Atlantic
Yes,5,67,White,Yes,White,Health,> 60,Female,"$75,000-$99,999",Middle Atlantic
No,3,31,White,No,White,Education,30-44,Female,"$125,000-$149,999",Middle Atlantic
Unemployed,6,31,White,No,White,Other,30-44,Female,"$0-$9,999",East North Central
Yes,10,76,White,No,AIAN,Other,> 60,Male,"$75,000-$99,999",Pacific
No,3,20,Black,No,Black,Retail,18-29,Female,"$25,000-$49,999",West South Central
Yes,5,55,White,Yes,White,Education,45-60,Female,Prefer not to answer,South Atlantic
Unemployed,8,53,Black,No,White,Education,45-60,Female,Prefer not to answer,Middle Atlantic
Unemployed,3,57,White,No,White,Other,45-60,Female,"$10,000-$24,999",East North Central
No,10,66,White,Yes,White,Health,> 60,Female,"$50,000-$74,999",Middle Atlantic
No,10,47,White,Yes,White,Health,45-60,Female,"$10,000-$24,999",East South Central
No,3,65,White,Yes,White,Education,> 60,Female,"$25,000-$49,999",South Atlantic
Unemployed,6,80,White,No,White,Health,> 60,Male,"$125,000-$149,999",South Atlantic
No,5,30,White,Yes,White,Other,30-44,Female,"$10,000-$24,999",New England
Unemployed,2,63,White,Yes,White,Law,> 60,Female,Prefer not to answer,West South Central
No,7,47,White,Yes,White,Information Technology,45-60,Male,"$100,000-$124,999",Mountain
Unemployed,5,74,White,No,White,Education,> 60,Female,Prefer not to answer,New England
Unemployed,7,58,White,No,White,Other,> 60,Female,Prefer not to answer,South Atlantic
Unemployed,6,19,White,No,White,Agriculture,18-29,Female,Prefer not to answer,West South Central
Yes,5,70,White,No,White,"Finance, Investment, or Accounting",> 60,Female,"$200,000+",Middle Atlantic
